# x_mm	value
0.0168561	4.56013
0.0505682	5.96673
0.0842803	6.93625
0.117992	7.71054
0.151705	8.21806
0.185417	8.54728
0.219129	8.88857
0.252841	9.31132
0.286553	9.59897
0.320265	9.95108
0.353977	9.98563
0.387689	10.1613
0.421402	10.1784
0.455114	10.4179
0.488826	10.5794
0.522538	10.4634
0.55625	10.6826
0.589962	10.9347
0.623674	11.1808
0.657386	11.4333
0.691098	11.5912
0.724811	11.862
0.758523	12.0714
0.792235	12.476
0.825947	12.7026
0.859659	13.0999
0.893371	13.4867
0.927083	14.0293
0.960795	14.7085
0.994508	15.2687
1.02822	15.9028
1.06193	16.525
1.09564	17.2435
1.12936	18.0536
1.16307	19.0636
1.19678	19.8518
1.23049	20.9701
1.2642	22.2043
1.29792	23.3752
1.33163	24.3384
1.36534	25.1105
1.39905	25.8271
1.43277	26.0399
1.46648	26.2859
1.50019	26.1932
1.5339	25.7428
1.56761	25.2807
1.60133	24.4754
1.63504	23.5591
1.66875	22.9041
1.70246	21.4297
1.73617	20.1161
1.76989	18.8704
1.8036	17.3947
1.83731	16.1237
1.87102	14.3525
1.90473	12.2805
1.93845	10.3138
1.97216	8.14971
2.00587	6.42658
2.03958	4.61968
2.0733	3.42728
2.10701	2.92435
2.14072	2.30719
2.17443	2.38108
2.20814	2.08039
2.24186	1.85241
2.27557	1.93225
2.30928	2.10919
2.34299	2.53142
2.3767	3.00758
2.41042	3.71684
2.44413	4.84238
2.47784	6.20963
2.51155	7.87124
2.54527	9.45462
2.57898	10.7935
2.61269	11.8884
2.6464	12.6361
2.68011	13.5047
2.71383	14.0963
2.74754	14.795
2.78125	15.1876
2.81496	15.5244
2.84867	15.7801
2.88239	15.8473
2.9161	15.8256
2.94981	15.5495
2.98352	15.5237
3.01723	15.2506
3.05095	14.8309
3.08466	14.1465
3.11837	13.5428
3.15208	13.0264
3.1858	12.4576
3.21951	11.7152
3.25322	11.3004
3.28693	10.7546
3.32064	10.0664
3.35436	9.59253
3.38807	9.08376
3.42178	8.50973
3.45549	8.20186
3.4892	7.95634
3.52292	7.61197
3.55663	7.3134
3.59034	6.93424
3.62405	6.75435
3.65777	6.55264
3.69148	6.2121
3.72519	5.98061
3.7589	5.69012
3.79261	5.59389
3.82633	5.84732
3.86004	5.88915
3.89375	5.98482
3.92746	6.08819
3.96117	5.94731
3.99489	6.02996
4.0286	6.34922
4.06231	6.22307
4.09602	6.3375
4.12973	6.38467
4.16345	6.50443
4.19716	6.34412
4.23087	6.11477
4.26458	6.10551
4.2983	5.68246
4.33201	5.43826
4.36572	4.95862
4.39943	4.38786
4.43314	3.71073
