# x_mm	value
0.0168561	5.44118
0.0505682	7.35657
0.0842803	8.57978
0.117992	9.72368
0.151705	10.7944
0.185417	11.3833
0.219129	11.9286
0.252841	12.5323
0.286553	13.0606
0.320265	13.3785
0.353977	13.9434
0.387689	13.964
0.421402	14.1473
0.455114	14.5316
0.488826	14.5956
0.522538	15.0289
0.55625	14.9659
0.589962	15.3928
0.623674	15.6331
0.657386	15.8377
0.691098	16.0587
0.724811	16.4059
0.758523	16.5467
0.792235	16.7738
0.825947	17.0554
0.859659	17.2722
0.893371	17.5414
0.927083	17.7075
0.960795	18.0156
0.994508	18.4038
1.02822	18.6094
1.06193	18.9534
1.09564	19.0865
1.12936	19.7365
1.16307	20.2591
1.19678	20.7039
1.23049	21.5589
1.2642	21.7515
1.29792	22.2506
1.33163	22.6072
1.36534	22.8611
1.39905	23.2683
1.43277	23.327
1.46648	23.2187
1.50019	22.975
1.5339	22.3643
1.56761	21.7225
1.60133	20.6804
1.63504	19.9219
1.66875	18.9336
1.70246	17.6735
1.73617	16.5537
1.76989	15.5972
1.8036	14.4199
1.83731	13.3739
1.87102	12.2431
1.90473	10.7246
1.93845	9.04768
1.97216	7.28695
2.00587	5.50353
2.03958	3.93061
2.0733	2.86015
2.10701	1.8936
2.14072	1.65021
2.17443	1.55754
2.20814	1.22095
2.24186	1.06751
2.27557	1.39354
2.30928	1.36532
2.34299	1.343
2.3767	1.60205
2.41042	2.00602
2.44413	2.46104
2.47784	2.95107
2.51155	3.78813
2.54527	4.66444
2.57898	5.13272
2.61269	5.71812
2.6464	6.32888
2.68011	7.0251
2.71383	7.73016
2.74754	8.38453
2.78125	9.01563
2.81496	9.14179
2.84867	9.39095
2.88239	9.47724
2.9161	9.5261
2.94981	9.47172
2.98352	9.14334
3.01723	8.98476
3.05095	8.71759
3.08466	8.31947
3.11837	8.03056
3.15208	7.61509
3.1858	7.36312
3.21951	7.03915
3.25322	7.03314
3.28693	6.71905
3.32064	6.57461
3.35436	6.63429
3.38807	6.35178
3.42178	6.20398
3.45549	6.02434
3.4892	5.95358
3.52292	5.65204
3.55663	5.57354
3.59034	5.61324
3.62405	5.42791
3.65777	5.29876
3.69148	5.27582
3.72519	4.98419
3.7589	5.16698
3.79261	4.94436
3.82633	5.06374
3.86004	4.98206
3.89375	5.02323
3.92746	5.03703
3.96117	4.97685
3.99489	5.05336
4.0286	5.02393
4.06231	4.91361
4.09602	4.88252
4.12973	4.849
4.16345	4.57723
4.19716	4.58409
4.23087	4.66692
4.26458	4.66235
4.2983	4.55744
4.33201	4.45237
4.36572	4.25304
4.39943	3.93652
4.43314	3.49455
