# x_mm	value
0.0168561	3.09116
0.0505682	4.35922
0.0842803	5.18469
0.117992	5.69583
0.151705	6.11748
0.185417	6.22787
0.219129	6.42801
0.252841	6.57014
0.286553	6.66227
0.320265	6.9661
0.353977	6.9756
0.387689	6.85225
0.421402	6.93341
0.455114	7.06177
0.488826	7.02853
0.522538	6.80634
0.55625	7.00144
0.589962	7.15366
0.623674	7.25441
0.657386	7.34937
0.691098	7.37474
0.724811	7.49876
0.758523	7.56832
0.792235	7.77345
0.825947	7.89117
0.859659	8.13268
0.893371	8.34464
0.927083	8.50896
0.960795	8.90392
0.994508	9.12995
1.02822	9.36776
1.06193	9.76298
1.09564	10.0775
1.12936	10.4534
1.16307	10.9868
1.19678	11.5304
1.23049	12.1001
1.2642	12.6879
1.29792	13.3116
1.33163	13.9619
1.36534	14.3282
1.39905	14.5714
1.43277	14.7713
1.46648	14.9555
1.50019	14.667
1.5339	14.2725
1.56761	14.0598
1.60133	13.5227
1.63504	12.9931
1.66875	12.7682
1.70246	11.88
1.73617	11.2247
1.76989	10.511
1.8036	9.91328
1.83731	9.40603
1.87102	8.65448
1.90473	7.6092
1.93845	6.51208
1.97216	5.29888
2.00587	4.23815
2.03958	2.95951
2.0733	2.19509
2.10701	1.79488
2.14072	1.23762
2.17443	1.26437
2.20814	1.18963
2.24186	1.04225
2.27557	0.9689
2.30928	1.15117
2.34299	1.26452
2.3767	1.52542
2.41042	2.05293
2.44413	2.59711
2.47784	3.2859
2.51155	4.38338
2.54527	5.4049
2.57898	6.06917
2.61269	6.97624
2.6464	7.58105
2.68011	8.09944
2.71383	8.59162
2.74754	9.20248
2.78125	9.39017
2.81496	9.50949
2.84867	9.67899
2.88239	9.50334
2.9161	9.35038
2.94981	9.07383
2.98352	8.96434
3.01723	8.70693
3.05095	8.33422
3.08466	7.88167
3.11837	7.50994
3.15208	7.15615
3.1858	6.55542
3.21951	6.17797
3.25322	6.09253
3.28693	5.54465
3.32064	5.25091
3.35436	4.91388
3.38807	4.5591
3.42178	4.22814
3.45549	4.04019
3.4892	3.84485
3.52292	3.6875
3.55663	3.49525
3.59034	3.26533
3.62405	3.25228
3.65777	3.16952
3.69148	3.04676
3.72519	2.97058
3.7589	2.83144
3.79261	2.82225
3.82633	3.01949
3.86004	3.11842
3.89375	3.32304
3.92746	3.46633
3.96117	3.33896
3.99489	3.56474
4.0286	3.95328
4.06231	3.95512
4.09602	4.19168
4.12973	4.40854
4.16345	4.63153
4.19716	4.71873
4.23087	4.68855
4.26458	4.65715
4.2983	4.46395
4.33201	3.99568
4.36572	3.79504
4.39943	3.60433
4.43314	2.93537
