# x_mm	value
0.0168561	8.81963
0.0505682	8.74059
0.0842803	8.14012
0.117992	8.0939
0.151705	8.41538
0.185417	8.51477
0.219129	8.73631
0.252841	9.09245
0.286553	9.19978
0.320265	9.47559
0.353977	9.38171
0.387689	9.67793
0.421402	9.66956
0.455114	10.0403
0.488826	10.2027
0.522538	9.98438
0.55625	10.153
0.589962	10.5202
0.623674	10.6707
0.657386	10.9456
0.691098	11.0258
0.724811	11.455
0.758523	11.6847
0.792235	11.9623
0.825947	12.2436
0.859659	12.766
0.893371	13.1441
0.927083	13.755
0.960795	14.6241
0.994508	15.1138
1.02822	15.9578
1.06193	16.561
1.09564	17.6185
1.12936	18.4764
1.16307	19.6863
1.19678	20.7461
1.23049	21.9745
1.2642	23.2555
1.29792	24.6736
1.33163	25.6912
1.36534	26.565
1.39905	27.2963
1.43277	27.6485
1.46648	28.0072
1.50019	27.752
1.5339	27.2748
1.56761	27.0313
1.60133	26.2548
1.63504	25.3521
1.66875	24.6235
1.70246	22.9033
1.73617	21.1947
1.76989	19.3833
1.8036	17.173
1.83731	15.1417
1.87102	12.365
1.90473	9.24953
1.93845	6.74926
1.97216	4.18955
2.00587	2.66844
2.03958	1.45353
2.0733	1.05428
2.10701	1.05903
2.14072	0.447943
2.17443	0.8619
2.20814	1.25612
2.24186	1.11146
2.27557	1.34695
2.30928	1.60141
2.34299	2.44984
2.3767	3.31189
2.41042	4.406
2.44413	5.77594
2.47784	7.43501
2.51155	9.34965
2.54527	10.9205
2.57898	12.0486
2.61269	12.792
2.6464	13.1676
2.68011	13.8592
2.71383	14.3908
2.74754	15.2673
2.78125	15.5997
2.81496	16.1348
2.84867	16.4696
2.88239	16.4871
2.9161	16.4406
2.94981	16.1412
2.98352	16.0266
3.01723	15.6545
3.05095	15.3585
3.08466	14.4464
3.11837	13.9877
3.15208	13.4419
3.1858	12.7542
3.21951	12.045
3.25322	11.6367
3.28693	10.8727
3.32064	10.2547
3.35436	9.73776
3.38807	9.22958
3.42178	8.56847
3.45549	8.14645
3.4892	7.95857
3.52292	7.59601
3.55663	7.2065
3.59034	6.69297
3.62405	6.63182
3.65777	6.53781
3.69148	6.11239
3.72519	5.90419
3.7589	5.7459
3.79261	5.62152
3.82633	5.68041
3.86004	5.80741
3.89375	5.87783
3.92746	5.96061
3.96117	5.93523
3.99489	5.74805
4.0286	6.06168
4.06231	5.83578
4.09602	5.86115
4.12973	5.92396
4.16345	5.84114
4.19716	5.8303
4.23087	5.45566
4.26458	5.23142
4.2983	4.24786
4.33201	3.05197
4.36572	1.30298
4.39943	-0.310192
4.43314	-1.4471
