# x_mm	value
0.0168561	3.50891
0.0505682	4.9438
0.0842803	5.83011
0.117992	6.29919
0.151705	6.80403
0.185417	7.04531
0.219129	7.3746
0.252841	7.60817
0.286553	7.82214
0.320265	8.1263
0.353977	8.1642
0.387689	8.30499
0.421402	8.24013
0.455114	8.52007
0.488826	8.56845
0.522538	8.40938
0.55625	8.63208
0.589962	8.96656
0.623674	9.15143
0.657386	9.42774
0.691098	9.49559
0.724811	9.67867
0.758523	9.85976
0.792235	10.1801
0.825947	10.4155
0.859659	10.6627
0.893371	10.9693
0.927083	11.5018
0.960795	12.0362
0.994508	12.416
1.02822	12.9276
1.06193	13.3461
1.09564	13.9557
1.12936	14.5701
1.16307	15.266
1.19678	15.9584
1.23049	16.8498
1.2642	17.7129
1.29792	18.6428
1.33163	19.3606
1.36534	19.9745
1.39905	20.421
1.43277	20.645
1.46648	20.7428
1.50019	20.3902
1.5339	20.0423
1.56761	19.5943
1.60133	18.7813
1.63504	17.969
1.66875	17.4487
1.70246	16.2298
1.73617	15.1889
1.76989	14.3325
1.8036	13.3101
1.83731	12.4703
1.87102	11.3386
1.90473	9.84369
1.93845	8.35739
1.97216	6.61185
2.00587	5.25817
2.03958	3.85426
2.0733	3.00905
2.10701	2.5752
2.14072	1.89527
2.17443	1.84098
2.20814	1.61638
2.24186	1.53175
2.27557	1.49559
2.30928	1.45833
2.34299	1.72942
2.3767	2.08733
2.41042	2.7978
2.44413	3.59822
2.47784	4.4429
2.51155	5.73626
2.54527	6.9493
2.57898	8.01929
2.61269	8.96808
2.6464	9.70879
2.68011	10.4221
2.71383	11.0082
2.74754	11.6604
2.78125	11.8305
2.81496	12.0228
2.84867	12.228
2.88239	12.2473
2.9161	12.1786
2.94981	11.8698
2.98352	11.7909
3.01723	11.5499
3.05095	11.2133
3.08466	10.5578
3.11837	10.1078
3.15208	9.68628
3.1858	9.06993
3.21951	8.45909
3.25322	8.23728
3.28693	7.5667
3.32064	7.30379
3.35436	6.68434
3.38807	6.38392
3.42178	5.96911
3.45549	5.54852
3.4892	5.45194
3.52292	5.22228
3.55663	5.09569
3.59034	4.80553
3.62405	4.67278
3.65777	4.49321
3.69148	4.29206
3.72519	4.20909
3.7589	3.99285
3.79261	4.03651
3.82633	4.18512
3.86004	4.26435
3.89375	4.37939
3.92746	4.4853
3.96117	4.45164
3.99489	4.50778
4.0286	4.87724
4.06231	4.92916
4.09602	5.03508
4.12973	5.19025
4.16345	5.30723
4.19716	5.30238
4.23087	5.2362
4.26458	5.22222
4.2983	4.8325
4.33201	4.60781
4.36572	4.31093
4.39943	3.98062
4.43314	3.30616
