# x_mid_mm	dist_mm	average_value
0.03	1.77	22.3124
0.09	1.71	23.887
0.15	1.65	25.8635
0.21	1.59	28.0263
0.27	1.53	30.5133
0.33	1.47	32.462
0.39	1.41	34.394
0.45	1.35	36.9193
0.51	1.29	39.3852
0.57	1.23	41.4949
0.63	1.17	43.0705
0.69	1.11	44.7152
0.75	1.05	47.033
0.81	0.99	49.5427
0.87	0.93	51.6834
0.93	0.87	52.9267
0.99	0.81	54.353
1.05	0.75	56.5637
1.11	0.69	58.8079
1.17	0.63	60.2236
1.23	0.57	60.368
1.29	0.51	59.5132
1.35	0.45	56.9198
1.41	0.39	52.634
1.47	0.33	46.7688
1.53	0.27	41.3281
1.59	0.21	35.2096
1.65	0.15	26.39
1.71	0.09	21.9087
1.77	0.03	nan
