# x_mid_mm	dist_mm	average_value
2.33	0.03	nan
2.39	0.09	59.6352
2.45	0.15	59.3181
2.51	0.21	60.0596
2.57	0.27	61.5347
2.63	0.33	63.8604
2.69	0.39	65.6618
2.75	0.45	67.8417
2.81	0.51	69.1334
2.87	0.57	69.284
2.93	0.63	68.6714
2.99	0.69	67.688
3.05	0.75	65.9283
3.11	0.81	64.0531
3.17	0.87	62.666
3.23	0.93	60.6572
3.29	0.99	58.8259
3.35	1.05	55.9747
3.41	1.11	52.8377
3.47	1.17	50.4592
3.53	1.23	47.3372
3.59	1.29	45.0995
3.65	1.35	41.8406
3.71	1.41	38.3016
3.77	1.47	34.5863
3.83	1.53	31.4742
3.89	1.59	27.9616
3.95	1.65	23.1825
4.01	1.71	18.8043
4.07	1.77	16.1631
