# x_mid_mm	dist_mm	average_value
2.33	0.03	nan
2.39	0.09	31.4681
2.45	0.15	31.8589
2.51	0.21	33.5461
2.57	0.27	35.4607
2.63	0.33	38.2237
2.69	0.39	39.9031
2.75	0.45	42.2906
2.81	0.51	44.3098
2.87	0.57	44.9617
2.93	0.63	45.6071
2.99	0.69	45.6598
3.05	0.75	45.2131
3.11	0.81	44.7104
3.17	0.87	44.4657
3.23	0.93	44.1432
3.29	0.99	43.4074
3.35	1.05	42.0115
3.41	1.11	40.0932
3.47	1.17	38.5508
3.53	1.23	36.4552
3.59	1.29	34.8624
3.65	1.35	32.3827
3.71	1.41	29.7312
3.77	1.47	27.0115
3.83	1.53	24.7481
3.89	1.59	22.3317
3.95	1.65	18.6792
4.01	1.71	14.9208
4.07	1.77	12.5761
