# x_mid_mm	dist_mm	average_value
0.03	1.77	17.2809
0.09	1.71	20.3585
0.15	1.65	24.6415
0.21	1.59	29.6345
0.27	1.53	34.8445
0.33	1.47	38.7035
0.39	1.41	42.3943
0.45	1.35	46.9084
0.51	1.29	50.7654
0.57	1.23	53.8565
0.63	1.17	55.9891
0.69	1.11	57.9569
0.75	1.05	60.5158
0.81	0.99	63.1103
0.87	0.93	65.2456
0.93	0.87	66.4484
0.99	0.81	67.838
1.05	0.75	70.1054
1.11	0.69	72.411
1.17	0.63	74.0455
1.23	0.57	74.5559
1.29	0.51	74.3611
1.35	0.45	73.1101
1.41	0.39	70.5139
1.47	0.33	65.9263
1.53	0.27	60.7364
1.59	0.21	54.2177
1.65	0.15	45.7371
1.71	0.09	41.9855
1.77	0.03	nan
