# x_mid_mm	dist_mm	average_value
2.33	0.03	nan
2.39	0.09	30.0338
2.45	0.15	30.0257
2.51	0.21	31.1545
2.57	0.27	32.792
2.63	0.33	35.221
2.69	0.39	36.9423
2.75	0.45	39.2589
2.81	0.51	41.1008
2.87	0.57	41.8747
2.93	0.63	42.5158
2.99	0.69	42.7172
3.05	0.75	42.5707
3.11	0.81	42.3176
3.17	0.87	42.2091
3.23	0.93	41.9078
3.29	0.99	41.3237
3.35	1.05	39.9619
3.41	1.11	38.0752
3.47	1.17	36.5429
3.53	1.23	34.3635
3.59	1.29	32.6847
3.65	1.35	30.0105
3.71	1.41	27.1285
3.77	1.47	24.379
3.83	1.53	22.0798
3.89	1.59	19.4692
3.95	1.65	15.9538
4.01	1.71	12.5749
4.07	1.77	10.3961
