# x_mid_mm	dist_mm	average_value
2.33	0.03	nan
2.39	0.09	39.8311
2.45	0.15	39.9004
2.51	0.21	40.982
2.57	0.27	42.771
2.63	0.33	45.6831
2.69	0.39	47.6712
2.75	0.45	50.2754
2.81	0.51	52.1462
2.87	0.57	52.6995
2.93	0.63	52.6083
2.99	0.69	52.1915
3.05	0.75	51.2036
3.11	0.81	50.1219
3.17	0.87	49.4293
3.23	0.93	48.44
3.29	0.99	47.3944
3.35	1.05	45.5015
3.41	1.11	43.1913
3.47	1.17	41.3471
3.53	1.23	38.8175
3.59	1.29	36.9406
3.65	1.35	34.0217
3.71	1.41	30.7146
3.77	1.47	27.403
3.83	1.53	24.7108
3.89	1.59	21.724
3.95	1.65	17.7331
4.01	1.71	13.983
4.07	1.77	11.5901
