# x_mid_mm	dist_mm	average_value
0.03	1.77	20.5568
0.09	1.71	23.7932
0.15	1.65	28.4046
0.21	1.59	33.6302
0.27	1.53	38.8561
0.33	1.47	42.6286
0.39	1.41	46.1548
0.45	1.35	50.4096
0.51	1.29	53.8598
0.57	1.23	56.6603
0.63	1.17	58.5732
0.69	1.11	60.3822
0.75	1.05	62.8898
0.81	0.99	65.2911
0.87	0.93	67.0292
0.93	0.87	68.0215
0.99	0.81	69.3097
1.05	0.75	71.4175
1.11	0.69	73.4535
1.17	0.63	74.6393
1.23	0.57	74.8112
1.29	0.51	74.2566
1.35	0.45	72.6027
1.41	0.39	69.6731
1.47	0.33	64.6708
1.53	0.27	59.0141
1.59	0.21	51.3631
1.65	0.15	40.3591
1.71	0.09	34.9258
1.77	0.03	nan
