# x_mid_mm	dist_mm	average_value
0.03	1.77	16.9375
0.09	1.71	19.423
0.15	1.65	22.877
0.21	1.59	27.0525
0.27	1.53	31.451
0.33	1.47	34.7779
0.39	1.41	37.9699
0.45	1.35	41.8587
0.51	1.29	45.2344
0.57	1.23	48.0722
0.63	1.17	50.0758
0.69	1.11	51.9396
0.75	1.05	54.3953
0.81	0.99	56.8582
0.87	0.93	58.9105
0.93	0.87	60.0732
0.99	0.81	61.4778
1.05	0.75	63.7599
1.11	0.69	66.0652
1.17	0.63	67.5199
1.23	0.57	67.705
1.29	0.51	66.9399
1.35	0.45	64.5301
1.41	0.39	60.4998
1.47	0.33	54.5326
1.53	0.27	48.4946
1.59	0.21	41.1625
1.65	0.15	30.9352
1.71	0.09	26.1053
1.77	0.03	nan
