# x_mm	value
0.0180894	21.7488
0.0542683	22.5899
0.0904472	22.5096
0.126626	24.5055
0.162805	27.2411
0.198984	28.9886
0.235163	29.4549
0.271341	29.371
0.30752	31.1807
0.343699	32.6123
0.379878	34.4019
0.416057	35.7178
0.452236	36.763
0.488415	37.7707
0.524593	38.7593
0.560772	40.097
0.596951	41.8135
0.63313	43.0888
0.669309	44.3458
0.705488	45.0139
0.741667	46.3335
0.777846	46.7916
0.814024	47.346
0.850203	48.4007
0.886382	49.5474
0.922561	50.8694
0.95874	51.9363
0.994919	53.3529
1.0311	54.8002
1.06728	55.2742
1.10346	56.1184
1.13963	56.8519
1.17581	58.112
1.21199	59.2451
1.24817	60.289
1.28435	60.777
1.32053	60.8804
1.35671	60.5515
1.39289	60.1609
1.42907	59.1127
1.46524	57.4988
1.50142	55.5382
1.5376	51.7786
1.57378	48.8017
1.60996	45.9709
1.64614	42.8148
1.68232	39.9393
1.7185	36.6042
1.75467	30.5845
1.79085	24.5238
1.82703	18.1636
1.86321	nan
1.89939	nan
1.93557	nan
1.97175	nan
2.00793	nan
2.04411	nan
2.08028	nan
2.11646	nan
2.15264	nan
2.18882	nan
2.225	nan
2.26118	nan
2.29736	nan
2.33354	nan
2.36972	nan
2.40589	nan
2.44207	nan
2.47825	nan
2.51443	nan
2.55061	nan
2.58679	nan
2.62297	28.2692
2.65915	28.6373
2.69533	28.3077
2.7315	27.7483
2.76768	28.0028
2.80386	30.223
2.84004	32.9232
2.87622	35.3961
2.9124	37.6846
2.94858	39.5295
2.98476	41.4414
3.02093	42.6219
3.05711	43.0008
3.09329	44.0275
3.12947	44.1361
3.16565	44.509
3.20183	44.605
3.23801	45.5445
3.27419	46.0275
3.31037	46.0162
3.34654	45.3045
3.38272	44.1005
3.4189	43.0312
3.45508	43.3569
3.49126	44.4209
3.52744	45.0772
3.56362	44.2404
3.5998	42.2462
3.63598	40.2754
3.67215	39.1188
3.70833	37.7761
3.74451	36.6922
3.78069	35.2571
3.81687	34.0775
3.85305	32.486
3.88923	30.6867
3.92541	29.2655
3.96159	28.2252
3.99776	27.2365
4.03394	26.3114
4.07012	25.027
4.1063	23.3713
4.14248	21.6259
4.17866	19.6739
4.21484	17.7616
4.25102	15.8378
4.2872	13.1624
4.32337	11.8963
4.35955	8.97228
4.39573	7.26934
4.43191	7.80498
