# x_mm	value
0.0180894	18.8357
0.0542683	20.0973
0.0904472	20.2466
0.126626	18.822
0.162805	17.0246
0.198984	16.7668
0.235163	17.2703
0.271341	19.5939
0.30752	21.3637
0.343699	23.4084
0.379878	25.3024
0.416057	26.9473
0.452236	28.2962
0.488415	30.2514
0.524593	32.3352
0.560772	33.995
0.596951	34.7057
0.63313	35.7971
0.669309	37.7677
0.705488	41.0429
0.741667	42.9125
0.777846	45.6132
0.814024	47.9748
0.850203	50.453
0.886382	53.0466
0.922561	54.4069
0.95874	55.931
0.994919	56.63
1.0311	57.5536
1.06728	58.6407
1.10346	59.7152
1.13963	60.8996
1.17581	61.8439
1.21199	62.6391
1.24817	64.0476
1.28435	64.6695
1.32053	65.1456
1.35671	64.5557
1.39289	63.8803
1.42907	63.1222
1.46524	62.3191
1.50142	60.8708
1.5376	58.2096
1.57378	55.331
1.60996	50.9084
1.64614	47.618
1.68232	41.1852
1.7185	33.3187
1.75467	23.2236
1.79085	12.6746
1.82703	2.05613
1.86321	nan
1.89939	nan
1.93557	nan
1.97175	nan
2.00793	nan
2.04411	nan
2.08028	nan
2.11646	nan
2.15264	nan
2.18882	nan
2.225	nan
2.26118	nan
2.29736	nan
2.33354	nan
2.36972	nan
2.40589	nan
2.44207	nan
2.47825	nan
2.51443	nan
2.55061	nan
2.58679	nan
2.62297	31.824
2.65915	30.3183
2.69533	30.7466
2.7315	31.9374
2.76768	33.3494
2.80386	35.7845
2.84004	37.6539
2.87622	38.1379
2.9124	39.0331
2.94858	39.8682
2.98476	41.2342
3.02093	42.8329
3.05711	43.8963
3.09329	44.3653
3.12947	43.8873
3.16565	43.8798
3.20183	44.4089
3.23801	44.8127
3.27419	45.9102
3.31037	46.5593
3.34654	47.4344
3.38272	47.8183
3.4189	48.6914
3.45508	49.3299
3.49126	49.5158
3.52744	48.909
3.56362	48.069
3.5998	46.9212
3.63598	46.0707
3.67215	45.295
3.70833	44.5904
3.74451	43.5663
3.78069	42.6773
3.81687	41.0431
3.85305	39.5207
3.88923	37.8072
3.92541	36.0794
3.96159	34.3603
3.99776	31.9611
4.03394	29.8514
4.07012	27.9239
4.1063	26.7837
4.14248	25.8865
4.17866	24.8461
4.21484	22.9785
4.25102	20.405
4.2872	17.823
4.32337	15.6666
4.35955	14.312
4.39573	11.6653
4.43191	10.6586
