# x_mm	value
0.0180894	15.3629
0.0542683	16.8237
0.0904472	17.9612
0.126626	20.3207
0.162805	24.2316
0.198984	27.1629
0.235163	29.8459
0.271341	30.7175
0.30752	33.4015
0.343699	36.0054
0.379878	39.1605
0.416057	41.1985
0.452236	43.8174
0.488415	46.1582
0.524593	48.4972
0.560772	51.0213
0.596951	53.5006
0.63313	55.6534
0.669309	57.1415
0.705488	58.5104
0.741667	60.0079
0.777846	60.5589
0.814024	61.3479
0.850203	62.0801
0.886382	63.0481
0.922561	64.0535
0.95874	65.0666
0.994919	66.3453
1.0311	67.3997
1.06728	67.7587
1.10346	68.4576
1.13963	69.3305
1.17581	71.0018
1.21199	72.4937
1.24817	73.7623
1.28435	74.2889
1.32053	74.2227
1.35671	73.9994
1.39289	74.2577
1.42907	74.3733
1.46524	73.098
1.50142	71.2388
1.5376	68.122
1.57378	65.4068
1.60996	62.3559
1.64614	58.6301
1.68232	54.5812
1.7185	50.356
1.75467	43.2897
1.79085	36.5494
1.82703	31.0936
1.86321	nan
1.89939	nan
1.93557	nan
1.97175	nan
2.00793	nan
2.04411	nan
2.08028	nan
2.11646	nan
2.15264	nan
2.18882	nan
2.225	nan
2.26118	nan
2.29736	nan
2.33354	nan
2.36972	nan
2.40589	nan
2.44207	nan
2.47825	nan
2.51443	nan
2.55061	nan
2.58679	nan
2.62297	45.0695
2.65915	46.1791
2.69533	46.369
2.7315	46.6474
2.76768	48.2622
2.80386	50.4124
2.84004	53.3414
2.87622	55.4043
2.9124	56.8969
2.94858	58.1845
2.98476	59.6456
3.02093	60.4844
3.05711	60.3994
3.09329	60.5955
3.12947	60.6722
3.16565	60.3606
3.20183	60.0973
3.23801	60.1278
3.27419	59.9252
3.31037	59.5289
3.34654	58.1918
3.38272	56.8114
3.4189	55.9375
3.45508	55.19
3.49126	55.4078
3.52744	55.3815
3.56362	54.3386
3.5998	52.6117
3.63598	50.8766
3.67215	50.2444
3.70833	49.3515
3.74451	48.4124
3.78069	47.0514
3.81687	45.8229
3.85305	44.3938
3.88923	43.058
3.92541	41.5471
3.96159	40.1594
3.99776	38.6196
4.03394	37.7419
4.07012	36.3428
4.1063	34.6007
4.14248	32.5903
4.17866	30.825
4.21484	28.3678
4.25102	25.9749
4.2872	23.496
4.32337	20.6188
4.35955	17.229
4.39573	14.6555
4.43191	13.8453
