# x_mm	value
0.0180894	11.915
0.0542683	11.8208
0.0904472	13.5141
0.126626	15.4307
0.162805	19.5441
0.198984	21.5644
0.235163	23.9409
0.271341	26.7595
0.30752	28.3711
0.343699	30.0691
0.379878	30.8869
0.416057	33.5913
0.452236	34.9439
0.488415	37.2796
0.524593	39.1619
0.560772	41.2224
0.596951	43.4858
0.63313	45.212
0.669309	46.8231
0.705488	48.5561
0.741667	49.6513
0.777846	49.9852
0.814024	50.6857
0.850203	52.2423
0.886382	53.9596
0.922561	54.7622
0.95874	54.9077
0.994919	54.9734
1.0311	54.9131
1.06728	55.673
1.10346	56.9483
1.13963	58.6414
1.17581	59.2745
1.21199	59.5065
1.24817	59.2889
1.28435	59.5876
1.32053	59.6513
1.35671	59.6274
1.39289	59.6755
1.42907	59.6195
1.46524	58.9147
1.50142	57.9693
1.5376	56.8047
1.57378	55.0967
1.60996	53.4179
1.64614	50.8678
1.68232	48.2179
1.7185	46.138
1.75467	45.0433
1.79085	45.2787
1.82703	43.0233
1.86321	nan
1.89939	nan
1.93557	nan
1.97175	nan
2.00793	nan
2.04411	nan
2.08028	nan
2.11646	nan
2.15264	nan
2.18882	nan
2.225	nan
2.26118	nan
2.29736	nan
2.33354	nan
2.36972	nan
2.40589	nan
2.44207	nan
2.47825	nan
2.51443	nan
2.55061	nan
2.58679	nan
2.62297	28.118
2.65915	34.4414
2.69533	39.5902
2.7315	44.0916
2.76768	51.2259
2.80386	54.9535
2.84004	57.2786
2.87622	59.0893
2.9124	61.6316
2.94858	63.8585
2.98476	65.4098
3.02093	66.7018
3.05711	66.544
3.09329	66.2001
3.12947	66.1514
3.16565	66.3211
3.20183	65.8138
3.23801	65.1508
3.27419	63.8338
3.31037	62.0406
3.34654	60.7628
3.38272	59.7557
3.4189	59.1384
3.45508	57.6992
3.49126	56.6882
3.52744	55.8903
3.56362	54.7186
3.5998	53.2621
3.63598	51.7774
3.67215	50.3263
3.70833	49.4229
3.74451	48.167
3.78069	47.1215
3.81687	45.6339
3.85305	43.4968
3.88923	40.5397
3.92541	37.2665
3.96159	34.8018
3.99776	31.9061
4.03394	29.7461
4.07012	27.3683
4.1063	24.8443
4.14248	22.9829
4.17866	20.1488
4.21484	18.7566
4.25102	17.9117
4.2872	16.331
4.32337	13.824
4.35955	12.131
4.39573	10.875
4.43191	10.7114
