# x_mm	value
0.0180894	17.5331
0.0542683	20.3869
0.0904472	21.475
0.126626	21.783
0.162805	22.022
0.198984	22.9732
0.235163	25.3364
0.271341	28.8863
0.30752	31.7569
0.343699	34.8868
0.379878	37.4214
0.416057	40.1496
0.452236	42.0146
0.488415	44.0282
0.524593	46.2767
0.560772	47.8336
0.596951	48.3645
0.63313	49.3082
0.669309	51.1551
0.705488	53.3466
0.741667	54.6006
0.777846	56.1697
0.814024	57.1903
0.850203	59.0716
0.886382	61.0249
0.922561	61.8716
0.95874	63.0562
0.994919	63.6618
1.0311	64.8506
1.06728	65.9264
1.10346	66.7073
1.13963	67.796
1.17581	68.2075
1.21199	68.8195
1.24817	69.8702
1.28435	70.3433
1.32053	70.4924
1.35671	69.9149
1.39289	69.2618
1.42907	68.7974
1.46524	68.6149
1.50142	68.0796
1.5376	66.0448
1.57378	63.0484
1.60996	59.7913
1.64614	55.8686
1.68232	50.0884
1.7185	42.5308
1.75467	33.3834
1.79085	23.2345
1.82703	15.215
1.86321	nan
1.89939	nan
1.93557	nan
1.97175	nan
2.00793	nan
2.04411	nan
2.08028	nan
2.11646	nan
2.15264	nan
2.18882	nan
2.225	nan
2.26118	nan
2.29736	nan
2.33354	nan
2.36972	nan
2.40589	nan
2.44207	nan
2.47825	nan
2.51443	nan
2.55061	nan
2.58679	nan
2.62297	47.7359
2.65915	46.6792
2.69533	47.2968
2.7315	48.4066
2.76768	50.1551
2.80386	52.2616
2.84004	53.9496
2.87622	55.2245
2.9124	55.8549
2.94858	56.6664
2.98476	58.1643
3.02093	59.5597
3.05711	60.4354
3.09329	60.9575
3.12947	60.3737
3.16565	59.7594
3.20183	59.2921
3.23801	59.18
3.27419	59.3319
3.31037	59.6075
3.34654	60.01
3.38272	59.8948
3.4189	60.3633
3.45508	60.4414
3.49126	59.9788
3.52744	59.0316
3.56362	57.6891
3.5998	56.1031
3.63598	54.8528
3.67215	53.4371
3.70833	52.4521
3.74451	51.3366
3.78069	49.9164
3.81687	48.6278
3.85305	47.1106
3.88923	45.5423
3.92541	44.4637
3.96159	43.0471
3.99776	41.0133
4.03394	39.1497
4.07012	37.1097
4.1063	35.6529
4.14248	35.0702
4.17866	33.7965
4.21484	30.8531
4.25102	27.8279
4.2872	24.3946
4.32337	21.9219
4.35955	20.1397
4.39573	17.2377
4.43191	15.9986
