# x_mm	value
0.0180894	12.0619
0.0542683	13.5468
0.0904472	16.0498
0.126626	17.5896
0.162805	19.7473
0.198984	22.1246
0.235163	26.0743
0.271341	30.0216
0.30752	32.3926
0.343699	33.8934
0.379878	36.2832
0.416057	37.7147
0.452236	39.1217
0.488415	41.343
0.524593	42.7801
0.560772	43.9825
0.596951	44.8769
0.63313	45.6092
0.669309	46.8632
0.705488	47.5443
0.741667	48.0529
0.777846	49.4973
0.814024	50.8326
0.850203	52.0808
0.886382	53.0979
0.922561	54.1176
0.95874	54.4252
0.994919	55.1943
1.0311	55.8637
1.06728	56.7371
1.10346	57.9115
1.13963	58.6563
1.17581	59.3747
1.21199	59.8212
1.24817	60.693
1.28435	61.1962
1.32053	60.3723
1.35671	58.8983
1.39289	57.0852
1.42907	55.8291
1.46524	54.9148
1.50142	52.9254
1.5376	52.7203
1.57378	51.6139
1.60996	50.9369
1.64614	50.8026
1.68232	49.3301
1.7185	49.6324
1.75467	49.9921
1.79085	49.3771
1.82703	48.0059
1.86321	nan
1.89939	nan
1.93557	nan
1.97175	nan
2.00793	nan
2.04411	nan
2.08028	nan
2.11646	nan
2.15264	nan
2.18882	nan
2.225	nan
2.26118	nan
2.29736	nan
2.33354	nan
2.36972	nan
2.40589	nan
2.44207	nan
2.47825	nan
2.51443	nan
2.55061	nan
2.58679	nan
2.62297	35.5048
2.65915	37.9416
2.69533	39.6407
2.7315	40.7769
2.76768	42.8714
2.80386	43.7358
2.84004	45.5888
2.87622	47.2031
2.9124	48.2271
2.94858	48.9208
2.98476	49.4664
3.02093	50.6628
3.05711	52.099
3.09329	53.0898
3.12947	53.2196
3.16565	53.4513
3.20183	53.1145
3.23801	52.5492
3.27419	52.0261
3.31037	50.926
3.34654	49.3082
3.38272	48.0885
3.4189	47.0011
3.45508	46.6582
3.49126	46.0566
3.52744	45.1684
3.56362	43.9833
3.5998	43.3214
3.63598	42.777
3.67215	42.1553
3.70833	40.8821
3.74451	39.4848
3.78069	37.7229
3.81687	35.6006
3.85305	34.2048
3.88923	32.0773
3.92541	30.3854
3.96159	28.3922
3.99776	26.2926
4.03394	25.2587
4.07012	24.1362
4.1063	22.3306
4.14248	21.0889
4.17866	18.9982
4.21484	16.6256
4.25102	15.2381
4.2872	13.3705
4.32337	11.1741
4.35955	10.0722
4.39573	8.00367
4.43191	7.28342
