# x_rel_mm	value	x_abs_mm	center_mm
-0.732204	30.8747	3.49461	4.22681
-0.710016	31.5467	3.5168	4.22681
-0.687828	32.3278	3.53899	4.22681
-0.66564	32.9252	3.56117	4.22681
-0.643452	33.3597	3.58336	4.22681
-0.621264	33.4448	3.60555	4.22681
-0.599076	34.0486	3.62774	4.22681
-0.576888	34.6476	3.64993	4.22681
-0.5547	34.5224	3.67211	4.22681
-0.532512	34.7599	3.6943	4.22681
-0.510324	35.1451	3.71649	4.22681
-0.488136	35.572	3.73868	4.22681
-0.465948	35.3994	3.76087	4.22681
-0.44376	32.698	3.78305	4.22681
-0.421572	27.4517	3.80524	4.22681
-0.399384	19.1699	3.82743	4.22681
-0.377196	12.1566	3.84962	4.22681
-0.355008	6.39741	3.87181	4.22681
-0.33282	0	3.89399	4.22681
-0.310632	0	3.91618	4.22681
-0.288444	0	3.93837	4.22681
-0.266256	0	3.96056	4.22681
-0.244068	0	3.98275	4.22681
-0.22188	0	4.00493	4.22681
-0.199692	0	4.02712	4.22681
-0.177504	0	4.04931	4.22681
-0.155316	0	4.0715	4.22681
-0.133128	0	4.09369	4.22681
-0.11094	0	4.11587	4.22681
-0.088752	0	4.13806	4.22681
-0.066564	0	4.16025	4.22681
-0.044376	0	4.18244	4.22681
-0.022188	0	4.20463	4.22681
0	0	4.22681	4.22681
0.022188	0	4.249	4.22681
0.044376	0	4.27119	4.22681
0.066564	0	4.29338	4.22681
0.088752	0	4.31557	4.22681
0.11094	0	4.33775	4.22681
0.133128	0	4.35994	4.22681
0.155316	0	4.38213	4.22681
0.177504	0	4.40432	4.22681
0.199692	0	4.42651	4.22681
0.22188	0	4.44869	4.22681
0.244068	0	4.47088	4.22681
0.266256	0	4.49307	4.22681
0.288444	0	4.51526	4.22681
0.310632	0	4.53745	4.22681
0.33282	0	4.55963	4.22681
0.355008	0	4.58182	4.22681
0.377196	0.595572	4.60401	4.22681
0.399384	3.93448	4.6262	4.22681
0.421572	7.3618	4.64839	4.22681
0.44376	10.1413	4.67057	4.22681
0.465948	14.2577	4.69276	4.22681
0.488136	20.6344	4.71495	4.22681
0.510324	22.3963	4.73714	4.22681
0.532512	23.2537	4.75933	4.22681
0.5547	23.6728	4.78151	4.22681
0.576888	23.8988	4.8037	4.22681
0.599076	24.3587	4.82589	4.22681
0.621264	24.8177	4.84808	4.22681
0.643452	25.1006	4.87027	4.22681
0.66564	25.0597	4.89245	4.22681
0.687828	24.5702	4.91464	4.22681
0.710016	23.8483	4.93683	4.22681
0.732204	23.211	4.95902	4.22681
0.754392	22.6343	4.98121	4.22681
0.77658	22.0346	5.00339	4.22681
0.798768	21.3818	5.02558	4.22681
0.820956	20.7629	5.04777	4.22681
0.843144	20.1661	5.06996	4.22681
0.865332	19.7647	5.09215	4.22681
0.88752	19.3204	5.11433	4.22681
0.909708	18.9402	5.13652	4.22681
0.931896	18.7176	5.15871	4.22681
0.954084	18.598	5.1809	4.22681
0.976272	18.5328	5.20309	4.22681
0.99846	18.5794	5.22527	4.22681
1.02065	18.4166	5.24746	4.22681
1.04284	18.7338	5.26965	4.22681
1.06502	19.2002	5.29184	4.22681
1.08721	19.2729	5.31403	4.22681
1.1094	19.4829	5.33621	4.22681
1.13159	19.5866	5.3584	4.22681
1.15378	19.4004	5.38059	4.22681
1.17596	19.2927	5.40278	4.22681
1.19815	18.7569	5.42497	4.22681
1.22034	18.5591	5.44715	4.22681
1.24253	18.314	5.46934	4.22681
1.26472	17.9676	5.49153	4.22681
1.2869	17.6479	5.51372	4.22681
1.30909	17.2496	5.53591	4.22681
1.33128	16.9529	5.55809	4.22681
1.35347	16.9362	5.58028	4.22681
1.37566	16.6997	5.60247	4.22681
1.39784	16.3962	5.62466	4.22681
1.42003	15.9542	5.64685	4.22681
1.44222	16.1236	5.66903	4.22681
1.46441	16.1497	5.69122	4.22681
1.4866	15.9265	5.71341	4.22681
1.50878	15.3574	5.7356	4.22681
1.53097	15.254	5.75779	4.22681
1.55316	14.9901	5.77997	4.22681
1.57535	14.8157	5.80216	4.22681
1.59754	14.9694	5.82435	4.22681
1.61972	15.0265	5.84654	4.22681
1.64191	14.8624	5.86873	4.22681
1.6641	14.1852	5.89091	4.22681
1.68629	13.5009	5.9131	4.22681
1.70848	13.2392	5.93529	4.22681
1.73066	12.6118	5.95748	4.22681
1.75285	12.1141	5.97967	4.22681
1.77504	12.0436	6.00185	4.22681
1.79723	11.6917	6.02404	4.22681
1.81942	11.4341	6.04623	4.22681
1.8416	11.5432	6.06842	4.22681
1.86379	11.5908	6.09061	4.22681
1.88598	12.0498	6.11279	4.22681
1.90817	12.7722	6.13498	4.22681
1.93036	13.8443	6.15717	4.22681
1.95254	15.0734	6.17936	4.22681
1.97473	16.2404	6.20155	4.22681
1.99692	17.5096	6.22373	4.22681
2.01911	19.7604	6.24592	4.22681
2.0413	21.8445	6.26811	4.22681
2.06348	23.9135	6.2903	4.22681
2.08567	26.0714	6.31249	4.22681
2.10786	28.0874	6.33467	4.22681
2.13005	30.1647	6.35686	4.22681
2.15224	31.8107	6.37905	4.22681
2.17442	32.2983	6.40124	4.22681
2.19661	30.9351	6.42343	4.22681
2.2188	28.9172	6.44561	4.22681
2.24099	27.4548	6.4678	4.22681
2.26318	26.4126	6.48999	4.22681
2.28536	18.3564	6.51218	4.22681
2.30755	1.673	6.53437	4.22681
2.32974	0	6.55655	4.22681
2.35193	0	6.57874	4.22681
2.37412	0	6.60093	4.22681
2.3963	0	6.62312	4.22681
2.41849	0	6.64531	4.22681
2.44068	0	6.66749	4.22681
2.46287	0	6.68968	4.22681
2.48506	0	6.71187	4.22681
2.50724	0	6.73406	4.22681
2.52943	0	6.75625	4.22681
2.55162	0	6.77843	4.22681
2.57381	0	6.80062	4.22681
2.596	0	6.82281	4.22681
2.61818	0	6.845	4.22681
2.64037	0	6.86719	4.22681
2.66256	0	6.88937	4.22681
2.68475	0	6.91156	4.22681
2.70694	0	6.93375	4.22681
2.72912	0	6.95594	4.22681
2.75131	0	6.97813	4.22681
2.7735	0	7.00031	4.22681
2.79569	0	7.0225	4.22681
2.81788	0	7.04469	4.22681
2.84006	0	7.06688	4.22681
2.86225	0	7.08907	4.22681
2.88444	0	7.11125	4.22681
2.90663	0	7.13344	4.22681
2.92882	0	7.15563	4.22681
2.951	0.0606547	7.17782	4.22681
2.97319	0.153351	7.20001	4.22681
2.99538	0.500744	7.22219	4.22681
3.01757	0.346175	7.24438	4.22681
3.03976	0.205239	7.26657	4.22681
3.06194	0.113422	7.28876	4.22681
3.08413	0.0607108	7.31095	4.22681
3.10632	0.212801	7.33313	4.22681
3.12851	0.45771	7.35532	4.22681
3.1507	0.484798	7.37751	4.22681
3.17288	0.0578434	7.3997	4.22681
