# x_rel_mm	value	x_abs_mm	center_mm
-0.687828	31.7362	3.36148	4.04931
-0.66564	32.2145	3.38367	4.04931
-0.643452	32.2289	3.40586	4.04931
-0.621264	32.4044	3.42805	4.04931
-0.599076	32.9539	3.45023	4.04931
-0.576888	33.9859	3.47242	4.04931
-0.5547	34.5248	3.49461	4.04931
-0.532512	35.2809	3.5168	4.04931
-0.510324	36.0111	3.53899	4.04931
-0.488136	36.1419	3.56117	4.04931
-0.465948	35.4249	3.58336	4.04931
-0.44376	34.5935	3.60555	4.04931
-0.421572	33.4581	3.62774	4.04931
-0.399384	32.0269	3.64993	4.04931
-0.377196	16.9156	3.67211	4.04931
-0.355008	4.05541	3.6943	4.04931
-0.33282	0.632794	3.71649	4.04931
-0.310632	0.0556677	3.73868	4.04931
-0.288444	0	3.76087	4.04931
-0.266256	0	3.78305	4.04931
-0.244068	0	3.80524	4.04931
-0.22188	0	3.82743	4.04931
-0.199692	0	3.84962	4.04931
-0.177504	0	3.87181	4.04931
-0.155316	0	3.89399	4.04931
-0.133128	0	3.91618	4.04931
-0.11094	0	3.93837	4.04931
-0.088752	0	3.96056	4.04931
-0.066564	0	3.98275	4.04931
-0.044376	0	4.00493	4.04931
-0.022188	0	4.02712	4.04931
0	0	4.04931	4.04931
0.022188	0	4.0715	4.04931
0.044376	0	4.09369	4.04931
0.066564	0	4.11587	4.04931
0.088752	0	4.13806	4.04931
0.11094	0	4.16025	4.04931
0.133128	0	4.18244	4.04931
0.155316	0	4.20463	4.04931
0.177504	0	4.22681	4.04931
0.199692	0	4.249	4.04931
0.22188	0	4.27119	4.04931
0.244068	0	4.29338	4.04931
0.266256	0	4.31557	4.04931
0.288444	0	4.33775	4.04931
0.310632	0	4.35994	4.04931
0.33282	0.104765	4.38213	4.04931
0.355008	1.77801	4.40432	4.04931
0.377196	5.42552	4.42651	4.04931
0.399384	7.25847	4.44869	4.04931
0.421572	10.5229	4.47088	4.04931
0.44376	14.4725	4.49307	4.04931
0.465948	20.1795	4.51526	4.04931
0.488136	22.8011	4.53745	4.04931
0.510324	23.9736	4.55963	4.04931
0.532512	24.9986	4.58182	4.04931
0.5547	25.4062	4.60401	4.04931
0.576888	25.7502	4.6262	4.04931
0.599076	25.7098	4.64839	4.04931
0.621264	25.7129	4.67057	4.04931
0.643452	25.5575	4.69276	4.04931
0.66564	25.3375	4.71495	4.04931
0.687828	24.5827	4.73714	4.04931
0.710016	24.4459	4.75933	4.04931
0.732204	24.0036	4.78151	4.04931
0.754392	23.4483	4.8037	4.04931
0.77658	22.8361	4.82589	4.04931
0.798768	22.2841	4.84808	4.04931
0.820956	22.1417	4.87027	4.04931
0.843144	22.1436	4.89245	4.04931
0.865332	21.9877	4.91464	4.04931
0.88752	22.091	4.93683	4.04931
0.909708	21.8578	4.95902	4.04931
0.931896	21.6946	4.98121	4.04931
0.954084	21.1429	5.00339	4.04931
0.976272	20.7766	5.02558	4.04931
0.99846	20.2932	5.04777	4.04931
1.02065	20.0497	5.06996	4.04931
1.04284	20.1215	5.09215	4.04931
1.06502	19.9963	5.11433	4.04931
1.08721	19.5416	5.13652	4.04931
1.1094	19.0193	5.15871	4.04931
1.13159	18.7074	5.1809	4.04931
1.15378	17.8189	5.20309	4.04931
1.17596	17.1659	5.22527	4.04931
1.19815	17.0986	5.24746	4.04931
1.22034	17.2931	5.26965	4.04931
1.24253	16.7275	5.29184	4.04931
1.26472	16.3128	5.31403	4.04931
1.2869	15.8037	5.33621	4.04931
1.30909	15.6358	5.3584	4.04931
1.33128	15.3359	5.38059	4.04931
1.35347	15.1495	5.40278	4.04931
1.37566	14.9074	5.42497	4.04931
1.39784	14.7398	5.44715	4.04931
1.42003	14.4494	5.46934	4.04931
1.44222	14.1545	5.49153	4.04931
1.46441	14.1037	5.51372	4.04931
1.4866	13.853	5.53591	4.04931
1.50878	13.4673	5.55809	4.04931
1.53097	13.2898	5.58028	4.04931
1.55316	12.8902	5.60247	4.04931
1.57535	12.4829	5.62466	4.04931
1.59754	11.8248	5.64685	4.04931
1.61972	11.6312	5.66903	4.04931
1.64191	11.9166	5.69122	4.04931
1.6641	12.3062	5.71341	4.04931
1.68629	12.3371	5.7356	4.04931
1.70848	12.0365	5.75779	4.04931
1.73066	11.2446	5.77997	4.04931
1.75285	10.5219	5.80216	4.04931
1.77504	10.4018	5.82435	4.04931
1.79723	10.0927	5.84654	4.04931
1.81942	9.75745	5.86873	4.04931
1.8416	9.20166	5.89091	4.04931
1.86379	9.04175	5.9131	4.04931
1.88598	8.93034	5.93529	4.04931
1.90817	8.56458	5.95748	4.04931
1.93036	8.50255	5.97967	4.04931
1.95254	8.54367	6.00185	4.04931
1.97473	7.78027	6.02404	4.04931
1.99692	7.92046	6.04623	4.04931
2.01911	8.06029	6.06842	4.04931
2.0413	8.17272	6.09061	4.04931
2.06348	8.03336	6.11279	4.04931
2.08567	8.05989	6.13498	4.04931
2.10786	8.0856	6.15717	4.04931
2.13005	7.90496	6.17936	4.04931
2.15224	8.64281	6.20155	4.04931
2.17442	9.43436	6.22373	4.04931
2.19661	10.4673	6.24592	4.04931
2.2188	11.28	6.26811	4.04931
2.24099	11.809	6.2903	4.04931
2.26318	11.9457	6.31249	4.04931
2.28536	11.5306	6.33467	4.04931
2.30755	8.8463	6.35686	4.04931
2.32974	4.75328	6.37905	4.04931
2.35193	2.33651	6.40124	4.04931
2.37412	1.23056	6.42343	4.04931
2.3963	0.15505	6.44561	4.04931
2.41849	0	6.4678	4.04931
2.44068	0	6.48999	4.04931
2.46287	0.538267	6.51218	4.04931
2.48506	1.02494	6.53437	4.04931
2.50724	1.33175	6.55655	4.04931
2.52943	4.61972	6.57874	4.04931
2.55162	8.3717	6.60093	4.04931
2.57381	11.0136	6.62312	4.04931
2.596	11.9495	6.64531	4.04931
2.61818	12.0442	6.66749	4.04931
2.64037	8.32005	6.68968	4.04931
2.66256	1.23204	6.71187	4.04931
2.68475	0.506803	6.73406	4.04931
2.70694	0	6.75625	4.04931
2.72912	0	6.77843	4.04931
2.75131	0	6.80062	4.04931
2.7735	0	6.82281	4.04931
2.79569	0	6.845	4.04931
2.81788	0	6.86719	4.04931
2.84006	0	6.88937	4.04931
2.86225	0	6.91156	4.04931
2.88444	0	6.93375	4.04931
2.90663	0	6.95594	4.04931
2.92882	0	6.97813	4.04931
2.951	0	7.00031	4.04931
2.97319	0	7.0225	4.04931
2.99538	0	7.04469	4.04931
3.01757	0	7.06688	4.04931
3.03976	0	7.08907	4.04931
3.06194	0	7.11125	4.04931
3.08413	0	7.13344	4.04931
3.10632	0	7.15563	4.04931
3.12851	0	7.17782	4.04931
3.1507	0	7.20001	4.04931
3.17288	0.0674007	7.22219	4.04931
3.19507	-0.0422509	7.24438	4.04931
3.21726	-0.1083	7.26657	4.04931
3.23945	-0.186831	7.28876	4.04931
3.26164	-0.120142	7.31095	4.04931
3.28382	0.0204588	7.33313	4.04931
3.30601	0.36324	7.35532	4.04931
3.3282	0	7.37751	4.04931
3.35039	0.282428	7.3997	4.04931
3.37258	0.371283	7.42189	4.04931
3.39476	0.412081	7.44407	4.04931
3.41695	0.483348	7.46626	4.04931
3.43914	0	7.48845	4.04931
3.46133	0	7.51064	4.04931
3.48352	0	7.53283	4.04931
3.5057	0.0545661	7.55501	4.04931
3.52789	0	7.5772	4.04931
3.55008	0	7.59939	4.04931
3.57227	0	7.62158	4.04931
3.59446	0	7.64377	4.04931
3.61664	0	7.66595	4.04931
3.63883	0	7.68814	4.04931
3.66102	0	7.71033	4.04931
