# x_rel_mm	value	x_abs_mm	center_mm
-3.35039	7.82027	3.73868	7.08907
-3.3282	7.57185	3.76087	7.08907
-3.30601	7.93781	3.78305	7.08907
-3.28382	7.43996	3.80524	7.08907
-3.26164	7.02203	3.82743	7.08907
-3.23945	6.90362	3.84962	7.08907
-3.21726	7.11523	3.87181	7.08907
-3.19507	6.81533	3.89399	7.08907
-3.17288	6.60311	3.91618	7.08907
-3.1507	6.56066	3.93837	7.08907
-3.12851	6.65845	3.96056	7.08907
-3.10632	6.94548	3.98275	7.08907
-3.08413	7.58686	4.00493	7.08907
-3.06194	7.48659	4.02712	7.08907
-3.03976	7.23663	4.04931	7.08907
-3.01757	7.26975	4.0715	7.08907
-2.99538	6.93929	4.09369	7.08907
-2.97319	6.49695	4.11587	7.08907
-2.951	6.62869	4.13806	7.08907
-2.92882	6.53474	4.16025	7.08907
-2.90663	6.42964	4.18244	7.08907
-2.88444	6.44069	4.20463	7.08907
-2.86225	6.6007	4.22681	7.08907
-2.84006	6.67472	4.249	7.08907
-2.81788	6.66191	4.27119	7.08907
-2.79569	6.71846	4.29338	7.08907
-2.7735	6.19682	4.31557	7.08907
-2.75131	5.91232	4.33775	7.08907
-2.72912	5.96707	4.35994	7.08907
-2.70694	6.57167	4.38213	7.08907
-2.68475	6.83573	4.40432	7.08907
-2.66256	6.72749	4.42651	7.08907
-2.64037	6.47054	4.44869	7.08907
-2.61818	6.32714	4.47088	7.08907
-2.596	6.36018	4.49307	7.08907
-2.57381	6.68361	4.51526	7.08907
-2.55162	6.8536	4.53745	7.08907
-2.52943	7.18738	4.55963	7.08907
-2.50724	7.15687	4.58182	7.08907
-2.48506	7.04525	4.60401	7.08907
-2.46287	7.57793	4.6262	7.08907
-2.44068	8.00115	4.64839	7.08907
-2.41849	7.7225	4.67057	7.08907
-2.3963	7.85063	4.69276	7.08907
-2.37412	7.77456	4.71495	7.08907
-2.35193	7.34801	4.73714	7.08907
-2.32974	7.19862	4.75933	7.08907
-2.30755	7.17502	4.78151	7.08907
-2.28536	7.20497	4.8037	7.08907
-2.26318	6.96085	4.82589	7.08907
-2.24099	6.91912	4.84808	7.08907
-2.2188	6.65394	4.87027	7.08907
-2.19661	6.38353	4.89245	7.08907
-2.17442	6.33985	4.91464	7.08907
-2.15224	6.8471	4.93683	7.08907
-2.13005	7.39769	4.95902	7.08907
-2.10786	7.73139	4.98121	7.08907
-2.08567	8.42674	5.00339	7.08907
-2.06348	8.86851	5.02558	7.08907
-2.0413	9.59486	5.04777	7.08907
-2.01911	10.1199	5.06996	7.08907
-1.99692	10.6396	5.09215	7.08907
-1.97473	11.1861	5.11433	7.08907
-1.95254	11.6736	5.13652	7.08907
-1.93036	11.9691	5.15871	7.08907
-1.90817	11.6667	5.1809	7.08907
-1.88598	11.3626	5.20309	7.08907
-1.86379	11.4487	5.22527	7.08907
-1.8416	11.413	5.24746	7.08907
-1.81942	11.4543	5.26965	7.08907
-1.79723	11.3125	5.29184	7.08907
-1.77504	11.3588	5.31403	7.08907
-1.75285	11.5942	5.33621	7.08907
-1.73066	11.3462	5.3584	7.08907
-1.70848	11.1777	5.38059	7.08907
-1.68629	11.2349	5.40278	7.08907
-1.6641	11.6652	5.42497	7.08907
-1.64191	11.9791	5.44715	7.08907
-1.61972	12.5486	5.46934	7.08907
-1.59754	12.9921	5.49153	7.08907
-1.57535	13.4435	5.51372	7.08907
-1.55316	14.0257	5.53591	7.08907
-1.53097	14.1415	5.55809	7.08907
-1.50878	14.656	5.58028	7.08907
-1.4866	14.943	5.60247	7.08907
-1.46441	15.042	5.62466	7.08907
-1.44222	15.4827	5.64685	7.08907
-1.42003	15.8932	5.66903	7.08907
-1.39784	16.1337	5.69122	7.08907
-1.37566	16.5342	5.71341	7.08907
-1.35347	17.1567	5.7356	7.08907
-1.33128	18.0851	5.75779	7.08907
-1.30909	18.4169	5.77997	7.08907
-1.2869	18.3307	5.80216	7.08907
-1.26472	18.5065	5.82435	7.08907
-1.24253	19.0578	5.84654	7.08907
-1.22034	19.8812	5.86873	7.08907
-1.19815	20.9823	5.89091	7.08907
-1.17596	21.8461	5.9131	7.08907
-1.15378	22.3401	5.93529	7.08907
-1.13159	22.9291	5.95748	7.08907
-1.1094	23.5284	5.97967	7.08907
-1.08721	24.0125	6.00185	7.08907
-1.06502	24.9199	6.02404	7.08907
-1.04284	25.5937	6.04623	7.08907
-1.02065	25.8241	6.06842	7.08907
-0.99846	26.2585	6.09061	7.08907
-0.976272	26.7738	6.11279	7.08907
-0.954084	27.3604	6.13498	7.08907
-0.931896	28.1567	6.15717	7.08907
-0.909708	28.7546	6.17936	7.08907
-0.88752	29.8188	6.20155	7.08907
-0.865332	30.7081	6.22373	7.08907
-0.843144	31.5701	6.24592	7.08907
-0.820956	32.6009	6.26811	7.08907
-0.798768	33.9334	6.2903	7.08907
-0.77658	35.206	6.31249	7.08907
-0.754392	36.6497	6.33467	7.08907
-0.732204	38.2173	6.35686	7.08907
-0.710016	39.6378	6.37905	7.08907
-0.687828	41.0931	6.40124	7.08907
-0.66564	41.758	6.42343	7.08907
-0.643452	42.7022	6.44561	7.08907
-0.621264	43.6547	6.4678	7.08907
-0.599076	44.6391	6.48999	7.08907
-0.576888	45.5127	6.51218	7.08907
-0.5547	45.818	6.53437	7.08907
-0.532512	45.9452	6.55655	7.08907
-0.510324	45.7005	6.57874	7.08907
-0.488136	45.2246	6.60093	7.08907
-0.465948	44.3735	6.62312	7.08907
-0.44376	43.097	6.64531	7.08907
-0.421572	41.1124	6.66749	7.08907
-0.399384	38.4987	6.68968	7.08907
-0.377196	30.9931	6.71187	7.08907
-0.355008	9.00494	6.73406	7.08907
-0.33282	0.44149	6.75625	7.08907
-0.310632	0	6.77843	7.08907
-0.288444	0	6.80062	7.08907
-0.266256	0	6.82281	7.08907
-0.244068	0	6.845	7.08907
-0.22188	0	6.86719	7.08907
-0.199692	0	6.88937	7.08907
-0.177504	0	6.91156	7.08907
-0.155316	0	6.93375	7.08907
-0.133128	0	6.95594	7.08907
-0.11094	0	6.97813	7.08907
-0.088752	0	7.00031	7.08907
-0.066564	0	7.0225	7.08907
-0.044376	0	7.04469	7.08907
-0.022188	0	7.06688	7.08907
0	0	7.08907	7.08907
0.022188	0	7.11125	7.08907
0.044376	0	7.13344	7.08907
0.066564	0	7.15563	7.08907
0.088752	0	7.17782	7.08907
0.11094	0	7.20001	7.08907
0.133128	0	7.22219	7.08907
0.155316	0	7.24438	7.08907
0.177504	0	7.26657	7.08907
0.199692	0	7.28876	7.08907
0.22188	0	7.31095	7.08907
0.244068	0	7.33313	7.08907
0.266256	0	7.35532	7.08907
0.288444	0	7.37751	7.08907
0.310632	0	7.3997	7.08907
0.33282	0	7.42189	7.08907
0.355008	0	7.44407	7.08907
0.377196	1.44015	7.46626	7.08907
0.399384	5.76209	7.48845	7.08907
0.421572	10.0026	7.51064	7.08907
0.44376	14.7715	7.53283	7.08907
0.465948	18.5	7.55501	7.08907
0.488136	20.6584	7.5772	7.08907
0.510324	21.7148	7.59939	7.08907
0.532512	21.6983	7.62158	7.08907
0.5547	21.2799	7.64377	7.08907
0.576888	20.9241	7.66595	7.08907
0.599076	20.7915	7.68814	7.08907
0.621264	19.9676	7.71033	7.08907
0.643452	18.6127	7.73252	7.08907
0.66564	17.3511	7.75471	7.08907
0.687828	16.4858	7.77689	7.08907
0.710016	15.7182	7.79908	7.08907
0.732204	15.2979	7.82127	7.08907
0.754392	15.2238	7.84346	7.08907
0.77658	15.4416	7.86565	7.08907
0.798768	15.3595	7.88783	7.08907
0.820956	15.2809	7.91002	7.08907
0.843144	15.656	7.93221	7.08907
0.865332	16.1216	7.9544	7.08907
0.88752	16.2843	7.97659	7.08907
0.909708	16.5582	7.99877	7.08907
0.931896	16.5737	8.02096	7.08907
0.954084	16.1727	8.04315	7.08907
0.976272	15.6262	8.06534	7.08907
0.99846	15.6581	8.08753	7.08907
1.02065	15.6683	8.10971	7.08907
1.04284	15.123	8.1319	7.08907
1.06502	14.7725	8.15409	7.08907
1.08721	14.4431	8.17628	7.08907
1.1094	14.6776	8.19847	7.08907
1.13159	14.5075	8.22065	7.08907
1.15378	14.1734	8.24284	7.08907
1.17596	13.7788	8.26503	7.08907
1.19815	13.5604	8.28722	7.08907
1.22034	13.3456	8.30941	7.08907
1.24253	12.6059	8.33159	7.08907
1.26472	12.3579	8.35378	7.08907
1.2869	11.8676	8.37597	7.08907
1.30909	11.7637	8.39816	7.08907
1.33128	11.7209	8.42035	7.08907
1.35347	11.9908	8.44253	7.08907
1.37566	11.9707	8.46472	7.08907
