# x_rel_mm	value	x_abs_mm	center_mm
-2.75131	8.46728	3.58336	6.33467
-2.72912	8.12115	3.60555	6.33467
-2.70694	8.45504	3.62774	6.33467
-2.68475	8.41066	3.64993	6.33467
-2.66256	8.16394	3.67211	6.33467
-2.64037	8.33733	3.6943	6.33467
-2.61818	8.21094	3.71649	6.33467
-2.596	8.18067	3.73868	6.33467
-2.57381	8.02227	3.76087	6.33467
-2.55162	7.7529	3.78305	6.33467
-2.52943	8.39516	3.80524	6.33467
-2.50724	8.29904	3.82743	6.33467
-2.48506	8.10384	3.84962	6.33467
-2.46287	8.10986	3.87181	6.33467
-2.44068	8.53661	3.89399	6.33467
-2.41849	9.12235	3.91618	6.33467
-2.3963	9.94688	3.93837	6.33467
-2.37412	10.6559	3.96056	6.33467
-2.35193	10.9193	3.98275	6.33467
-2.32974	11.6404	4.00493	6.33467
-2.30755	12.2673	4.02712	6.33467
-2.28536	12.5146	4.04931	6.33467
-2.26318	12.8248	4.0715	6.33467
-2.24099	12.6745	4.09369	6.33467
-2.2188	12.9165	4.11587	6.33467
-2.19661	13.4402	4.13806	6.33467
-2.17442	13.9198	4.16025	6.33467
-2.15224	13.6717	4.18244	6.33467
-2.13005	13.3083	4.20463	6.33467
-2.10786	13.9344	4.22681	6.33467
-2.08567	14.3087	4.249	6.33467
-2.06348	14.2845	4.27119	6.33467
-2.0413	14.6814	4.29338	6.33467
-2.01911	14.7033	4.31557	6.33467
-1.99692	14.7448	4.33775	6.33467
-1.97473	14.9971	4.35994	6.33467
-1.95254	14.958	4.38213	6.33467
-1.93036	14.9686	4.40432	6.33467
-1.90817	15.2105	4.42651	6.33467
-1.88598	15.1564	4.44869	6.33467
-1.86379	15.3157	4.47088	6.33467
-1.8416	15.531	4.49307	6.33467
-1.81942	16.0319	4.51526	6.33467
-1.79723	16.0881	4.53745	6.33467
-1.77504	15.5972	4.55963	6.33467
-1.75285	15.3718	4.58182	6.33467
-1.73066	15.9795	4.60401	6.33467
-1.70848	16.3104	4.6262	6.33467
-1.68629	16.5328	4.64839	6.33467
-1.6641	16.7711	4.67057	6.33467
-1.64191	16.9208	4.69276	6.33467
-1.61972	17.2072	4.71495	6.33467
-1.59754	17.3775	4.73714	6.33467
-1.57535	17.9421	4.75933	6.33467
-1.55316	18.3181	4.78151	6.33467
-1.53097	18.561	4.8037	6.33467
-1.50878	18.7437	4.82589	6.33467
-1.4866	19.4238	4.84808	6.33467
-1.46441	20.3098	4.87027	6.33467
-1.44222	20.6613	4.89245	6.33467
-1.42003	21.0992	4.91464	6.33467
-1.39784	21.609	4.93683	6.33467
-1.37566	22.0743	4.95902	6.33467
-1.35347	22.7936	4.98121	6.33467
-1.33128	23.4945	5.00339	6.33467
-1.30909	24.6013	5.02558	6.33467
-1.2869	24.9867	5.04777	6.33467
-1.26472	25.4035	5.06996	6.33467
-1.24253	25.801	5.09215	6.33467
-1.22034	26.3064	5.11433	6.33467
-1.19815	27.0854	5.13652	6.33467
-1.17596	27.5957	5.15871	6.33467
-1.15378	28.596	5.1809	6.33467
-1.13159	29.4733	5.20309	6.33467
-1.1094	30.4243	5.22527	6.33467
-1.08721	31.6008	5.24746	6.33467
-1.06502	32.7161	5.26965	6.33467
-1.04284	33.5371	5.29184	6.33467
-1.02065	34.5037	5.31403	6.33467
-0.99846	35.3797	5.33621	6.33467
-0.976272	36.0036	5.3584	6.33467
-0.954084	36.0843	5.38059	6.33467
-0.931896	36.0331	5.40278	6.33467
-0.909708	35.5043	5.42497	6.33467
-0.88752	35.0741	5.44715	6.33467
-0.865332	34.7896	5.46934	6.33467
-0.843144	34.2514	5.49153	6.33467
-0.820956	33.4277	5.51372	6.33467
-0.798768	32.235	5.53591	6.33467
-0.77658	31.1105	5.55809	6.33467
-0.754392	29.8688	5.58028	6.33467
-0.732204	29.0938	5.60247	6.33467
-0.710016	28.8352	5.62466	6.33467
-0.687828	28.1052	5.64685	6.33467
-0.66564	27.0978	5.66903	6.33467
-0.643452	25.8197	5.69122	6.33467
-0.621264	24.2417	5.71341	6.33467
-0.599076	22.9	5.7356	6.33467
-0.576888	21.2089	5.75779	6.33467
-0.5547	19.3965	5.77997	6.33467
-0.532512	17.9889	5.80216	6.33467
-0.510324	16.5148	5.82435	6.33467
-0.488136	14.8405	5.84654	6.33467
-0.465948	12.4937	5.86873	6.33467
