# x_mm	value
0.0180894	15.7534
0.0542683	17.8476
0.0904472	20.2251
0.126626	22.5649
0.162805	25.403
0.198984	28.5928
0.235163	31.8834
0.271341	34.6867
0.30752	37.2716
0.343699	39.5553
0.379878	41.6276
0.416057	43.8805
0.452236	46.1913
0.488415	48.5698
0.524593	50.625
0.560772	52.2735
0.596951	53.672
0.63313	54.9319
0.669309	56.1145
0.705488	57.1947
0.741667	58.4064
0.777846	59.8762
0.814024	61.1677
0.850203	62.5956
0.886382	63.7578
0.922561	64.6642
0.95874	65.2453
0.994919	65.7189
1.0311	66.2727
1.06728	67.2821
1.10346	68.5811
1.13963	69.9381
1.17581	71.1839
1.21199	72.0853
1.24817	72.8115
1.28435	73.2166
1.32053	73.5328
1.35671	73.7712
1.39289	73.8243
1.42907	73.4723
1.46524	72.795
1.50142	71.9843
1.5376	70.9575
1.57378	69.467
1.60996	67.0857
1.64614	64.2501
1.68232	60.9767
1.7185	57.1849
1.75467	53.1005
1.79085	49.1028
1.82703	45.8478
1.86321	nan
1.89939	nan
1.93557	nan
1.97175	nan
2.00793	nan
2.04411	nan
2.08028	nan
2.11646	nan
2.15264	nan
2.18882	nan
2.225	nan
2.26118	nan
2.29736	nan
2.33354	nan
2.36972	nan
2.40589	nan
2.44207	nan
2.47825	nan
2.51443	nan
2.55061	nan
2.58679	nan
2.62297	59.2453
2.65915	58.7492
2.69533	58.7686
2.7315	58.5192
2.76768	58.8499
2.80386	59.2522
2.84004	60.0448
2.87622	61.2685
2.9124	62.6453
2.94858	63.9613
2.98476	65.5313
3.02093	66.6717
3.05711	67.3927
3.09329	67.8038
3.12947	68.1017
3.16565	68.2337
3.20183	68.0779
3.23801	67.674
3.27419	66.9606
3.31037	66.1769
3.34654	65.3364
3.38272	64.4513
3.4189	63.5579
3.45508	62.629
3.49126	61.5895
3.52744	60.5134
3.56362	59.3877
3.5998	57.9451
3.63598	56.5059
3.67215	54.9568
3.70833	53.5722
3.74451	52.2858
3.78069	50.8343
3.81687	49.2737
3.85305	47.853
3.88923	46.3468
3.92541	45.1375
3.96159	43.5438
3.99776	41.958
4.03394	40.2368
4.07012	38.3797
4.1063	36.4055
4.14248	34.5088
4.17866	32.4826
4.21484	30.0988
4.25102	27.773
4.2872	25.5297
4.32337	23.1707
4.35955	21.0229
4.39573	18.9223
4.43191	17.0837
