# x_mm	value
0.0180894	18.7934
0.0542683	20.7751
0.0904472	22.1307
0.126626	23.9611
0.162805	25.9445
0.198984	28.1691
0.235163	30.325
0.271341	32.2793
0.30752	34.5367
0.343699	36.861
0.379878	39.1245
0.416057	41.3886
0.452236	43.5273
0.488415	45.4533
0.524593	46.9373
0.560772	48.4447
0.596951	49.6489
0.63313	51.0464
0.669309	52.6407
0.705488	54.1723
0.741667	55.6656
0.777846	56.9435
0.814024	57.9703
0.850203	58.9787
0.886382	59.7495
0.922561	60.5084
0.95874	61.5058
0.994919	62.2493
1.0311	63.1774
1.06728	64.2023
1.10346	65.4827
1.13963	66.8405
1.17581	68.162
1.21199	69.1088
1.24817	69.9119
1.28435	70.5424
1.32053	71.1214
1.35671	71.6991
1.39289	71.9646
1.42907	71.7999
1.46524	71.2725
1.50142	70.4135
1.5376	69.1663
1.57378	67.7562
1.60996	65.7184
1.64614	62.7327
1.68232	58.5096
1.7185	53.1225
1.75467	45.9673
1.79085	38.7886
1.82703	29.2563
1.86321	nan
1.89939	nan
1.93557	nan
1.97175	nan
2.00793	nan
2.04411	nan
2.08028	nan
2.11646	nan
2.15264	nan
2.18882	nan
2.225	nan
2.26118	nan
2.29736	nan
2.33354	nan
2.36972	nan
2.40589	nan
2.44207	nan
2.47825	nan
2.51443	nan
2.55061	nan
2.58679	nan
2.62297	60.3747
2.65915	60.2531
2.69533	60.1514
2.7315	60.2614
2.76768	61.0846
2.80386	62.3229
2.84004	63.5071
2.87622	64.2023
2.9124	65.1607
2.94858	65.6125
2.98476	66.1545
3.02093	66.7432
3.05711	67.1902
3.09329	67.4293
3.12947	67.1039
3.16565	66.7086
3.20183	66.098
3.23801	65.2984
3.27419	64.601
3.31037	63.9679
3.34654	63.3657
3.38272	62.7205
3.4189	62.0325
3.45508	61.1896
3.49126	60.1397
3.52744	58.9529
3.56362	57.5789
3.5998	56.3238
3.63598	55.2007
3.67215	53.9807
3.70833	52.6832
3.74451	51.1895
3.78069	49.7808
3.81687	48.5135
3.85305	47.2914
3.88923	45.9729
3.92541	44.6875
3.96159	43.257
3.99776	41.2998
4.03394	39.4419
4.07012	37.5127
4.1063	35.7593
4.14248	34.0033
4.17866	31.966
4.21484	29.7688
4.25102	27.5276
4.2872	25.3842
4.32337	23.1928
4.35955	21.1806
4.39573	19.4218
4.43191	17.5522
