# x_mm	value
0.0180894	19.2867
0.0542683	21.0162
0.0904472	22.8
0.126626	24.5346
0.162805	26.3113
0.198984	28.048
0.235163	29.7009
0.271341	31.4058
0.30752	32.8103
0.343699	34.0057
0.379878	35.0209
0.416057	36.0062
0.452236	37.1942
0.488415	38.4844
0.524593	39.8534
0.560772	41.146
0.596951	42.0828
0.63313	42.8613
0.669309	43.8167
0.705488	44.7524
0.741667	45.7657
0.777846	46.9915
0.814024	48.1433
0.850203	49.3415
0.886382	50.4778
0.922561	51.5545
0.95874	52.4064
0.994919	53.0483
1.0311	53.6548
1.06728	54.7534
1.10346	55.941
1.13963	57.3323
1.17581	58.664
1.21199	59.8303
1.24817	60.7519
1.28435	61.1348
1.32053	61.3259
1.35671	61.4712
1.39289	61.3861
1.42907	60.807
1.46524	59.5196
1.50142	57.7093
1.5376	55.7068
1.57378	53.4892
1.60996	50.3848
1.64614	46.7066
1.68232	43.2784
1.7185	39.9464
1.75467	36.937
1.79085	33.5682
1.82703	31.1892
1.86321	nan
1.89939	nan
1.93557	nan
1.97175	nan
2.00793	nan
2.04411	nan
2.08028	nan
2.11646	nan
2.15264	nan
2.18882	nan
2.225	nan
2.26118	nan
2.29736	nan
2.33354	nan
2.36972	nan
2.40589	nan
2.44207	nan
2.47825	nan
2.51443	nan
2.55061	nan
2.58679	nan
2.62297	26.849
2.65915	26.8764
2.69533	27.2963
2.7315	27.7657
2.76768	28.3422
2.80386	29.0741
2.84004	29.8767
2.87622	30.8925
2.9124	31.972
2.94858	33.2354
2.98476	34.639
3.02093	35.9199
3.05711	36.9017
3.09329	37.6262
3.12947	38.1905
3.16565	38.9728
3.20183	39.65
3.23801	40.0279
3.27419	40.0257
3.31037	40.0552
3.34654	39.9727
3.38272	39.9658
3.4189	40.0655
3.45508	40.1243
3.49126	39.9933
3.52744	39.8276
3.56362	39.6847
3.5998	39.2342
3.63598	38.4785
3.67215	37.6532
3.70833	37.0384
3.74451	36.3826
3.78069	35.7034
3.81687	34.7046
3.85305	33.7806
3.88923	32.7498
3.92541	31.5752
3.96159	30.4884
3.99776	29.3231
4.03394	28.1454
4.07012	26.8531
4.1063	25.4309
4.14248	23.9903
4.17866	22.3842
4.21484	20.6112
4.25102	18.7143
4.2872	16.9959
4.32337	15.3161
4.35955	13.6157
4.39573	11.6595
4.43191	10.4168
