# x_mm	value
0.0180894	21.7062
0.0542683	23.1046
0.0904472	24.1241
0.126626	25.217
0.162805	26.2374
0.198984	27.3243
0.235163	28.7106
0.271341	30.1035
0.30752	31.5292
0.343699	32.9331
0.379878	34.9227
0.416057	36.6171
0.452236	38.18
0.488415	39.4329
0.524593	40.7473
0.560772	42.1666
0.596951	43.4596
0.63313	44.4267
0.669309	45.4032
0.705488	46.5711
0.741667	47.3717
0.777846	48.0503
0.814024	49.0445
0.850203	50.5028
0.886382	51.8151
0.922561	53.0617
0.95874	54.2966
0.994919	55.5917
1.0311	56.7512
1.06728	57.9078
1.10346	59.3063
1.13963	60.8932
1.17581	62.5097
1.21199	63.8656
1.24817	65.2152
1.28435	66.0692
1.32053	66.1923
1.35671	65.3113
1.39289	63.9934
1.42907	62.4438
1.46524	60.2088
1.50142	57.5376
1.5376	54.6945
1.57378	51.8018
1.60996	47.8333
1.64614	43.4742
1.68232	39.2247
1.7185	34.6988
1.75467	30.8491
1.79085	25.6835
1.82703	21.3592
1.86321	nan
1.89939	nan
1.93557	nan
1.97175	nan
2.00793	nan
2.04411	nan
2.08028	nan
2.11646	nan
2.15264	nan
2.18882	nan
2.225	nan
2.26118	nan
2.29736	nan
2.33354	nan
2.36972	nan
2.40589	nan
2.44207	nan
2.47825	nan
2.51443	nan
2.55061	nan
2.58679	nan
2.62297	34.102
2.65915	33.4204
2.69533	33.6301
2.7315	34.9985
2.76768	36.6013
2.80386	38.4315
2.84004	40.1553
2.87622	41.7285
2.9124	42.8689
2.94858	43.9063
2.98476	44.6962
3.02093	45.4384
3.05711	45.89
3.09329	46.0058
3.12947	45.8804
3.16565	45.9026
3.20183	46.073
3.23801	46.0427
3.27419	45.628
3.31037	45.2698
3.34654	45.0151
3.38272	44.6082
3.4189	44.1735
3.45508	44.022
3.49126	44.0331
3.52744	43.727
3.56362	43.0609
3.5998	42.5834
3.63598	42.1339
3.67215	41.1295
3.70833	39.7368
3.74451	38.5158
3.78069	37.4732
3.81687	36.1123
3.85305	35.0057
3.88923	34.0384
3.92541	33.0624
3.96159	31.4416
3.99776	29.6309
4.03394	28.2816
4.07012	27.2282
4.1063	26.0069
4.14248	24.3803
4.17866	22.7622
4.21484	20.9504
4.25102	19.4881
4.2872	17.5665
4.32337	15.9626
4.35955	14.3953
4.39573	12.7651
4.43191	11.7829
