# x_mm	value
0.0180894	13.1389
0.0542683	14.9924
0.0904472	17.2562
0.126626	19.5135
0.162805	22.0359
0.198984	24.7534
0.235163	27.7363
0.271341	30.6966
0.30752	33.3606
0.343699	35.6012
0.379878	37.7974
0.416057	39.9701
0.452236	42.2284
0.488415	44.7276
0.524593	46.9334
0.560772	48.8932
0.596951	50.5225
0.63313	51.7874
0.669309	53.2429
0.705488	54.5408
0.741667	55.8794
0.777846	57.2968
0.814024	58.6549
0.850203	60.0919
0.886382	61.4514
0.922561	62.7246
0.95874	63.6354
0.994919	64.2448
1.0311	64.8878
1.06728	65.8626
1.10346	67.1525
1.13963	68.5657
1.17581	69.9583
1.21199	71.142
1.24817	72.1258
1.28435	72.6873
1.32053	73.151
1.35671	73.5218
1.39289	73.8766
1.42907	73.7708
1.46524	73.309
1.50142	72.433
1.5376	71.4469
1.57378	70.272
1.60996	68.202
1.64614	65.3448
1.68232	62.1239
1.7185	58.5379
1.75467	55.3375
1.79085	52.0568
1.82703	49.684
1.86321	nan
1.89939	nan
1.93557	nan
1.97175	nan
2.00793	nan
2.04411	nan
2.08028	nan
2.11646	nan
2.15264	nan
2.18882	nan
2.225	nan
2.26118	nan
2.29736	nan
2.33354	nan
2.36972	nan
2.40589	nan
2.44207	nan
2.47825	nan
2.51443	nan
2.55061	nan
2.58679	nan
2.62297	46.5222
2.65915	47.9881
2.69533	49.3775
2.7315	50.5061
2.76768	51.75
2.80386	53.0937
2.84004	54.5828
2.87622	56.1146
2.9124	57.7966
2.94858	59.5713
2.98476	61.2805
3.02093	62.9
3.05711	64.087
3.09329	64.7964
3.12947	65.2002
3.16565	65.5335
3.20183	65.7454
3.23801	65.63
3.27419	65.1367
3.31037	64.4722
3.34654	63.7697
3.38272	63.1771
3.4189	62.4501
3.45508	61.7353
3.49126	60.8737
3.52744	59.9932
3.56362	59.0893
3.5998	57.9504
3.63598	56.556
3.67215	55.0927
3.70833	53.829
3.74451	52.5992
3.78069	51.2692
3.81687	49.9206
3.85305	48.4547
3.88923	47.0748
3.92541	45.6676
3.96159	44.2533
3.99776	42.6865
4.03394	41.0691
4.07012	39.3597
4.1063	37.4213
4.14248	35.39
4.17866	33.3825
4.21484	31.1547
4.25102	28.8283
4.2872	26.6131
4.32337	24.3129
4.35955	22.3608
4.39573	20.1535
4.43191	18.3784
