# x_mm	value
0.0180894	11.8721
0.0542683	12.3346
0.0904472	12.3128
0.126626	12.7507
0.162805	14.8041
0.198984	16.6906
0.235163	17.6849
0.271341	19.0066
0.30752	20.0268
0.343699	21.918
0.379878	24.6331
0.416057	27.5686
0.452236	28.2179
0.488415	28.9048
0.524593	30.1749
0.560772	31.3865
0.596951	32.4676
0.63313	33.5138
0.669309	34.8248
0.705488	36.9188
0.741667	38.4679
0.777846	39.9061
0.814024	41.3281
0.850203	42.4585
0.886382	43.5566
0.922561	44.2599
0.95874	45.2738
0.994919	46.1778
1.0311	47.2694
1.06728	48.3207
1.10346	49.2169
1.13963	50.1851
1.17581	51.4304
1.21199	53.1306
1.24817	54.4527
1.28435	54.9262
1.32053	55.3788
1.35671	55.7507
1.39289	56.8065
1.42907	57.0343
1.46524	57.3996
1.50142	56.3008
1.5376	55.325
1.57378	53.4989
1.60996	52.0021
1.64614	50.0498
1.68232	49.2806
1.7185	48.2358
1.75467	47.9217
1.79085	47.7855
1.82703	48.3947
1.86321	nan
1.89939	nan
1.93557	nan
1.97175	nan
2.00793	nan
2.04411	nan
2.08028	nan
2.11646	nan
2.15264	nan
2.18882	nan
2.225	nan
2.26118	nan
2.29736	nan
2.33354	nan
2.36972	nan
2.40589	nan
2.44207	nan
2.47825	nan
2.51443	nan
2.55061	nan
2.58679	nan
2.62297	36.5297
2.65915	37.7251
2.69533	40.2229
2.7315	43.2407
2.76768	46.6935
2.80386	50.0259
2.84004	52.433
2.87622	55.1555
2.9124	58.2531
2.94858	59.6076
2.98476	59.7856
3.02093	59.7981
3.05711	59.5428
3.09329	59.4014
3.12947	59.1808
3.16565	58.5277
3.20183	57.4095
3.23801	56.3177
3.27419	55.1022
3.31037	53.8862
3.34654	52.6584
3.38272	50.585
3.4189	48.6938
3.45508	48.6854
3.49126	49.0322
3.52744	48.6677
3.56362	46.5575
3.5998	42.7765
3.63598	40.4061
3.67215	38.7935
3.70833	37.8213
3.74451	36.4029
3.78069	35.2234
3.81687	34.1386
3.85305	32.5528
3.88923	31.3146
3.92541	29.8212
3.96159	28.7187
3.99776	26.74
4.03394	25.3657
4.07012	24.2103
4.1063	22.4217
4.14248	20.7201
4.17866	19.2188
4.21484	16.8983
4.25102	14.2155
4.2872	12.8889
4.32337	10.1869
4.35955	8.85057
4.39573	7.8709
4.43191	7.1174
