# x_mm	value
0.0180894	12.1624
0.0542683	13.8607
0.0904472	13.8959
0.126626	14.3735
0.162805	17.2504
0.198984	19.8797
0.235163	22.5071
0.271341	25.7373
0.30752	28.74
0.343699	31.4797
0.379878	33.7578
0.416057	35.4108
0.452236	35.6286
0.488415	36.5282
0.524593	36.8482
0.560772	37.2358
0.596951	37.338
0.63313	38.5208
0.669309	39.812
0.705488	41.8767
0.741667	43.6064
0.777846	45.3341
0.814024	47.9424
0.850203	49.0415
0.886382	49.8166
0.922561	50.6966
0.95874	51.7862
0.994919	52.1483
1.0311	53.2848
1.06728	54.1628
1.10346	55.2948
1.13963	55.9936
1.17581	57.2663
1.21199	58.2285
1.24817	59.236
1.28435	58.9335
1.32053	58.5007
1.35671	58.3218
1.39289	57.8181
1.42907	57.5007
1.46524	56.7169
1.50142	56.4977
1.5376	54.4413
1.57378	52.2381
1.60996	48.8908
1.64614	45.9364
1.68232	43.9871
1.7185	42.8081
1.75467	46.5162
1.79085	52.1053
1.82703	58.177
1.86321	nan
1.89939	nan
1.93557	nan
1.97175	nan
2.00793	nan
2.04411	nan
2.08028	nan
2.11646	nan
2.15264	nan
2.18882	nan
2.225	nan
2.26118	nan
2.29736	nan
2.33354	nan
2.36972	nan
2.40589	nan
2.44207	nan
2.47825	nan
2.51443	nan
2.55061	nan
2.58679	nan
2.62297	25.6526
2.65915	33.4669
2.69533	40.1645
2.7315	44.9329
2.76768	49.5791
2.80386	53.3512
2.84004	55.2246
2.87622	56.648
2.9124	57.8803
2.94858	58.4218
2.98476	58.486
3.02093	58.6274
3.05711	59.1312
3.09329	59.3954
3.12947	59.5979
3.16565	60.1336
3.20183	60.6581
3.23801	60.0774
3.27419	58.6829
3.31037	56.3824
3.34654	54.0814
3.38272	52.2299
3.4189	51.6742
3.45508	50.2587
3.49126	49.5231
3.52744	47.4401
3.56362	46.7184
3.5998	46.589
3.63598	45.9756
3.67215	44.5072
3.70833	42.439
3.74451	39.7321
3.78069	38.3579
3.81687	37.3335
3.85305	36.3331
3.88923	34.1978
3.92541	32.7848
3.96159	31.6315
3.99776	29.5881
4.03394	26.2457
4.07012	25.4483
4.1063	24.5237
4.14248	24.3054
4.17866	22.7697
4.21484	22.0065
4.25102	20.9179
4.2872	19.972
4.32337	18.9459
4.35955	17.819
4.39573	16.3409
4.43191	13.2265
