# x_mm	value
0.0180894	23.1076
0.0542683	27.1229
0.0904472	28.8164
0.126626	29.817
0.162805	31.0992
0.198984	32.6912
0.235163	35.6196
0.271341	37.701
0.30752	41.0171
0.343699	43.2761
0.379878	46.3999
0.416057	48.5551
0.452236	50.1025
0.488415	51.4052
0.524593	52.8372
0.560772	54.4471
0.596951	55.864
0.63313	57.4634
0.669309	58.2856
0.705488	58.6048
0.741667	59.9696
0.777846	62.1875
0.814024	64.4137
0.850203	66.9419
0.886382	68.407
0.922561	69.538
0.95874	70.14
0.994919	70.5948
1.0311	71.1905
1.06728	71.4303
1.10346	71.8692
1.13963	72.8966
1.17581	74.1464
1.21199	75.3786
1.24817	75.8134
1.28435	76.193
1.32053	75.7311
1.35671	75.1702
1.39289	74.1252
1.42907	73.8228
1.46524	72.0263
1.50142	70.1923
1.5376	67.4933
1.57378	62.718
1.60996	59.2968
1.64614	52.4708
1.68232	47.7786
1.7185	41.3638
1.75467	39.1815
1.79085	30.7546
1.82703	25.5664
1.86321	nan
1.89939	nan
1.93557	nan
1.97175	nan
2.00793	nan
2.04411	nan
2.08028	nan
2.11646	nan
2.15264	nan
2.18882	nan
2.225	nan
2.26118	nan
2.29736	nan
2.33354	nan
2.36972	nan
2.40589	nan
2.44207	nan
2.47825	nan
2.51443	nan
2.55061	nan
2.58679	nan
2.62297	66.3284
2.65915	64.1061
2.69533	63.7166
2.7315	64.2674
2.76768	64.8502
2.80386	66.8105
2.84004	68.5059
2.87622	70.0225
2.9124	70.3457
2.94858	70.201
2.98476	70.009
3.02093	69.881
3.05711	69.8328
3.09329	69.5715
3.12947	69.6652
3.16565	69.0359
3.20183	68.2676
3.23801	66.5943
3.27419	64.5737
3.31037	63.1708
3.34654	62.572
3.38272	62.0992
3.4189	61.4951
3.45508	60.9614
3.49126	59.8619
3.52744	58.6907
3.56362	58.0211
3.5998	57.0301
3.63598	56.1538
3.67215	54.867
3.70833	53.2813
3.74451	50.515
3.78069	48.3899
3.81687	46.1606
3.85305	44.9736
3.88923	43.1593
3.92541	41.411
3.96159	38.9636
3.99776	35.6512
4.03394	33.0471
4.07012	30.3009
4.1063	27.9994
4.14248	25.9527
4.17866	23.5083
4.21484	21.9942
4.25102	18.8674
4.2872	16.5146
4.32337	13.4169
4.35955	11.2913
4.39573	9.50568
4.43191	8.86991
