# x_mm	value
0.0180894	13.043
0.0542683	14.4751
0.0904472	16.6824
0.126626	18.1379
0.162805	20.7005
0.198984	23.1164
0.235163	26.5055
0.271341	30.4025
0.30752	32.9264
0.343699	34.3501
0.379878	37.036
0.416057	39.0963
0.452236	40.688
0.488415	43.0575
0.524593	44.6887
0.560772	46.002
0.596951	47.0092
0.63313	48.0842
0.669309	49.1107
0.705488	49.8277
0.741667	50.5912
0.777846	51.7605
0.814024	53.3702
0.850203	54.7863
0.886382	55.6813
0.922561	56.6369
0.95874	57.2153
0.994919	58.0324
1.0311	58.7786
1.06728	59.6502
1.10346	61.0587
1.13963	61.8075
1.17581	62.4182
1.21199	62.9319
1.24817	63.6899
1.28435	64.2704
1.32053	63.5545
1.35671	62.0325
1.39289	60.2552
1.42907	58.7296
1.46524	57.4007
1.50142	55.9044
1.5376	55.209
1.57378	54.2033
1.60996	53.2592
1.64614	53.3881
1.68232	51.6307
1.7185	51.5645
1.75467	51.4012
1.79085	50.9825
1.82703	49.5901
1.86321	nan
1.89939	nan
1.93557	nan
1.97175	nan
2.00793	nan
2.04411	nan
2.08028	nan
2.11646	nan
2.15264	nan
2.18882	nan
2.225	nan
2.26118	nan
2.29736	nan
2.33354	nan
2.36972	nan
2.40589	nan
2.44207	nan
2.47825	nan
2.51443	nan
2.55061	nan
2.58679	nan
2.62297	39.699
2.65915	43.4946
2.69533	46.4737
2.7315	49.1288
2.76768	52.7203
2.80386	54.9355
2.84004	56.9674
2.87622	59.0925
2.9124	60.5423
2.94858	61.3532
2.98476	62.1501
3.02093	63.4495
3.05711	64.6605
3.09329	65.0358
3.12947	64.9333
3.16565	64.3303
3.20183	64.0153
3.23801	62.9652
3.27419	61.2322
3.31037	59.4497
3.34654	57.4004
3.38272	55.5744
3.4189	54.2786
3.45508	53.1205
3.49126	52.2827
3.52744	51.1462
3.56362	49.574
3.5998	48.6001
3.63598	47.7888
3.67215	47.0563
3.70833	45.3629
3.74451	43.2896
3.78069	41.3249
3.81687	38.9693
3.85305	36.9393
3.88923	34.7023
3.92541	32.4455
3.96159	29.939
3.99776	27.258
4.03394	25.8569
4.07012	24.7496
4.1063	23.4946
4.14248	21.684
4.17866	19.9917
4.21484	17.3983
4.25102	15.7817
4.2872	12.9064
4.32337	10.8016
4.35955	9.37022
4.39573	7.58555
4.43191	7.19306
