# x_mm	value
0.0180894	17.231
0.0542683	18.5926
0.0904472	20.3134
0.126626	22.7511
0.162805	26.6303
0.198984	29.7801
0.235163	32.9004
0.271341	34.0764
0.30752	37.1965
0.343699	39.6041
0.379878	42.4069
0.416057	44.5828
0.452236	46.7739
0.488415	48.7773
0.524593	50.5781
0.560772	52.8767
0.596951	55.4734
0.63313	57.4175
0.669309	59.4739
0.705488	60.9916
0.741667	62.2174
0.777846	62.7449
0.814024	63.6403
0.850203	64.3618
0.886382	65.5048
0.922561	66.5209
0.95874	67.4751
0.994919	68.5295
1.0311	69.7377
1.06728	69.7774
1.10346	70.4453
1.13963	71.3407
1.17581	72.9923
1.21199	74.4995
1.24817	75.7124
1.28435	76.1677
1.32053	76.2256
1.35671	76.2183
1.39289	76.7362
1.42907	76.9319
1.46524	76.508
1.50142	75.0809
1.5376	72.5972
1.57378	70.2772
1.60996	67.4501
1.64614	64.0451
1.68232	60.352
1.7185	56.6201
1.75467	49.981
1.79085	44.0354
1.82703	40.269
1.86321	nan
1.89939	nan
1.93557	nan
1.97175	nan
2.00793	nan
2.04411	nan
2.08028	nan
2.11646	nan
2.15264	nan
2.18882	nan
2.225	nan
2.26118	nan
2.29736	nan
2.33354	nan
2.36972	nan
2.40589	nan
2.44207	nan
2.47825	nan
2.51443	nan
2.55061	nan
2.58679	nan
2.62297	47.2097
2.65915	48.6594
2.69533	49.6609
2.7315	50.5641
2.76768	52.8279
2.80386	55.7091
2.84004	58.8487
2.87622	60.7723
2.9124	62.8124
2.94858	64.2083
2.98476	65.6957
3.02093	66.3846
3.05711	66.5349
3.09329	66.7008
3.12947	66.8524
3.16565	66.7094
3.20183	66.5399
3.23801	66.6146
3.27419	66.3031
3.31037	66.0103
3.34654	64.3631
3.38272	62.4999
3.4189	61.5069
3.45508	60.767
3.49126	60.5659
3.52744	60.4033
3.56362	58.9064
3.5998	56.9865
3.63598	54.8992
3.67215	54.1601
3.70833	53.0968
3.74451	52.1992
3.78069	50.8614
3.81687	49.1944
3.85305	47.6152
3.88923	45.4379
3.92541	43.325
3.96159	41.7542
3.99776	39.9363
4.03394	38.6573
4.07012	37.2452
4.1063	35.4973
4.14248	33.5705
4.17866	31.8324
4.21484	29.3642
4.25102	26.9774
4.2872	25.0109
4.32337	21.7319
4.35955	18.6926
4.39573	16.0168
4.43191	15.5328
