# x_mm	value
0.0180894	15.4343
0.0542683	17.0013
0.0904472	18.3972
0.126626	20.8288
0.162805	24.245
0.198984	27.1533
0.235163	29.8389
0.271341	30.7122
0.30752	33.277
0.343699	35.4572
0.379878	38.2313
0.416057	40.442
0.452236	42.5665
0.488415	44.6265
0.524593	46.4095
0.560772	48.623
0.596951	51.0201
0.63313	52.885
0.669309	54.4217
0.705488	55.3357
0.741667	56.8037
0.777846	56.9961
0.814024	57.7428
0.850203	58.4643
0.886382	59.7556
0.922561	60.7778
0.95874	61.846
0.994919	62.9892
1.0311	64.1602
1.06728	64.5583
1.10346	65.239
1.13963	66.1234
1.17581	67.8003
1.21199	69.429
1.24817	70.45
1.28435	70.7733
1.32053	70.5588
1.35671	70.0321
1.39289	69.8503
1.42907	69.0429
1.46524	67.7252
1.50142	65.5553
1.5376	61.9123
1.57378	59.1978
1.60996	55.7808
1.64614	52.1504
1.68232	47.5856
1.7185	43.7777
1.75467	37.2535
1.79085	29.0408
1.82703	23.5959
1.86321	nan
1.89939	nan
1.93557	nan
1.97175	nan
2.00793	nan
2.04411	nan
2.08028	nan
2.11646	nan
2.15264	nan
2.18882	nan
2.225	nan
2.26118	nan
2.29736	nan
2.33354	nan
2.36972	nan
2.40589	nan
2.44207	nan
2.47825	nan
2.51443	nan
2.55061	nan
2.58679	nan
2.62297	36.9392
2.65915	38.1803
2.69533	38.2683
2.7315	37.5516
2.76768	38.7154
2.80386	40.8692
2.84004	43.5604
2.87622	45.7473
2.9124	47.7427
2.94858	49.1544
2.98476	50.5245
3.02093	51.2643
3.05711	51.1405
3.09329	51.1018
3.12947	50.7873
3.16565	50.087
3.20183	49.6859
3.23801	50.0468
3.27419	50.2037
3.31037	50.1846
3.34654	49.0118
3.38272	47.4756
3.4189	46.8373
3.45508	46.925
3.49126	47.4439
3.52744	47.9586
3.56362	46.9923
3.5998	45.4302
3.63598	43.622
3.67215	42.8089
3.70833	41.8427
3.74451	41.1076
3.78069	40.1583
3.81687	39.1862
3.85305	37.8492
3.88923	36.1989
3.92541	35.0434
3.96159	34.0447
3.99776	32.9687
4.03394	32.0701
4.07012	30.681
4.1063	29.2612
4.14248	27.5891
4.17866	25.5714
4.21484	23.1727
4.25102	20.7231
4.2872	18.3395
4.32337	15.6584
4.35955	12.7741
4.39573	10.4918
4.43191	10.244
