# x_mm	value
0.0180894	15.9986
0.0542683	17.2377
0.0904472	20.1397
0.126626	21.9219
0.162805	24.3946
0.198984	27.8279
0.235163	30.8531
0.271341	33.7965
0.30752	35.0702
0.343699	35.6529
0.379878	37.1097
0.416057	39.1497
0.452236	41.0133
0.488415	43.0471
0.524593	44.4637
0.560772	45.5423
0.596951	47.1106
0.63313	48.6278
0.669309	49.9164
0.705488	51.3366
0.741667	52.4521
0.777846	53.4371
0.814024	54.8528
0.850203	56.1031
0.886382	57.6891
0.922561	59.0316
0.95874	59.9788
0.994919	60.4414
1.0311	60.3633
1.06728	59.8948
1.10346	60.01
1.13963	59.6075
1.17581	59.3319
1.21199	59.18
1.24817	59.2921
1.28435	59.7594
1.32053	60.3737
1.35671	60.9575
1.39289	60.4354
1.42907	59.5597
1.46524	58.1643
1.50142	56.6664
1.5376	55.8549
1.57378	55.2245
1.60996	53.9496
1.64614	52.2616
1.68232	50.1551
1.7185	48.4066
1.75467	47.2968
1.79085	46.6792
1.82703	47.7359
1.86321	nan
1.89939	nan
1.93557	nan
1.97175	nan
2.00793	nan
2.04411	nan
2.08028	nan
2.11646	nan
2.15264	nan
2.18882	nan
2.225	nan
2.26118	nan
2.29736	nan
2.33354	nan
2.36972	nan
2.40589	nan
2.44207	nan
2.47825	nan
2.51443	nan
2.55061	nan
2.58679	nan
2.62297	15.215
2.65915	23.2345
2.69533	33.3834
2.7315	42.5308
2.76768	50.0884
2.80386	55.8686
2.84004	59.7913
2.87622	63.0484
2.9124	66.0448
2.94858	68.0796
2.98476	68.6149
3.02093	68.7974
3.05711	69.2618
3.09329	69.9149
3.12947	70.4924
3.16565	70.3433
3.20183	69.8702
3.23801	68.8195
3.27419	68.2075
3.31037	67.796
3.34654	66.7073
3.38272	65.9264
3.4189	64.8506
3.45508	63.6618
3.49126	63.0562
3.52744	61.8716
3.56362	61.0249
3.5998	59.0716
3.63598	57.1903
3.67215	56.1697
3.70833	54.6006
3.74451	53.3466
3.78069	51.1551
3.81687	49.3082
3.85305	48.3645
3.88923	47.8336
3.92541	46.2767
3.96159	44.0282
3.99776	42.0146
4.03394	40.1496
4.07012	37.4214
4.1063	34.8868
4.14248	31.7569
4.17866	28.8863
4.21484	25.3364
4.25102	22.9732
4.2872	22.022
4.32337	21.783
4.35955	21.475
4.39573	20.3869
4.43191	17.5331
