# y_mid[mm], AverageValue
0.6	6.48577
1.8	8.1095
3	9.87541
4.2	10.6578
5.4	10.5599
6.6	9.11735
7.8	11.2661
9	11.1859
10.2	12.556
11.4	12.6419
12.6	11.4516
13.8	9.35683
15	11.8266
16.2	11.6163
17.4	12.601
18.6	12.2515
19.8	11.6932
21	11.6127
22.2	11.4121
23.4	12.2926
24.6	12.846
25.8	11.7122
27	10.9636
28.2	9.84594
29.4	10.4784
30.6	12.7171
31.8	12.0045
33	12.7376
34.2	12.8775
35.4	13.5109
36.6	14.8136
37.8	13.2298
39	12.9139
40.2	14.2021
41.4	13.0683
42.6	15.9864
43.8	17.7167
45	18.0299
46.2	18.5949
47.4	19.5413
48.6	18.2086
49.8	19.2753
51	20.5653
52.2	20.9863
53.4	20.7529
54.6	20.5329
55.8	22.1949
57	21.2567
58.2	22.316
59.4	22.0667
