# y_mid[mm], AverageValue
0.6	6.83127
1.8	6.40995
3	4.14259
4.2	6.76847
5.4	7.3515
6.6	7.26755
7.8	8.23478
9	7.40833
10.2	9.52311
11.4	9.3376
12.6	8.81736
13.8	10.303
15	13.9919
16.2	11.8783
17.4	14.7033
18.6	14.701
19.8	13.4672
21	14.7867
22.2	16.5373
23.4	15.0914
24.6	15.8786
25.8	17.1014
27	16.3563
28.2	16.9062
29.4	17.1831
30.6	17.7033
31.8	17.6288
33	17.2965
34.2	16.4909
35.4	16.5583
36.6	17.3129
37.8	18.2755
39	18.891
40.2	19.3629
41.4	18.5576
42.6	19.1213
43.8	19.2106
45	18.1257
46.2	19.4003
47.4	19.0875
48.6	17.9145
49.8	20.2697
51	20.0071
52.2	20.2997
53.4	19.9578
54.6	21.301
55.8	22.3246
57	21.3418
58.2	22.4194
59.4	21.0728
