# y_mid[mm], AverageValue
0.6	4.71226
1.8	4.87665
3	6.0981
4.2	7.17335
5.4	6.87479
6.6	5.614
7.8	7.48029
9	7.47921
10.2	8.7339
11.4	8.78794
12.6	7.53524
13.8	5.19811
15	7.85487
16.2	7.68576
17.4	8.69647
18.6	8.23429
19.8	7.69102
21	7.58724
22.2	7.5452
23.4	8.08046
24.6	8.9391
25.8	7.72528
27	6.91201
28.2	5.93091
29.4	6.41408
30.6	8.8152
31.8	8.14448
33	8.98365
34.2	9.0936
35.4	9.71767
36.6	10.9347
37.8	9.59632
39	8.95367
40.2	10.0779
41.4	8.72073
42.6	11.8408
43.8	13.7325
45	13.8796
46.2	14.5603
47.4	15.505
48.6	14.2096
49.8	15.5335
51	16.6134
52.2	16.846
53.4	16.6587
54.6	16.2682
55.8	17.7006
57	16.6923
58.2	17.6498
59.4	17.6641
