# y_mid[mm], AverageValue
0.6	5.75
1.8	6.79194
3	8.3774
4.2	9.231
5.4	9.03805
6.6	7.81269
7.8	9.85621
9	9.75503
10.2	11.249
11.4	11.2369
12.6	10.0447
13.8	7.92217
15	10.2805
16.2	10.2818
17.4	11.2443
18.6	10.8808
19.8	10.3666
21	10.1693
22.2	10.1546
23.4	11.089
24.6	11.7499
25.8	10.7136
27	9.7937
28.2	8.75657
29.4	9.43076
30.6	11.7229
31.8	10.8694
33	11.8378
34.2	11.9525
35.4	12.5842
36.6	14.0121
37.8	12.471
39	11.8862
40.2	13.3202
41.4	12.0241
42.6	15.0514
43.8	16.8762
45	17.0353
46.2	17.8008
47.4	18.5544
48.6	17.2662
49.8	18.3422
51	19.5663
52.2	19.9639
53.4	19.6888
54.6	19.2847
55.8	20.955
57	20.004
58.2	20.9684
59.4	20.7623
