# y_mid[mm], AverageValue
0.6	10.3513
1.8	12.4409
3	11.5901
4.2	14.3375
5.4	14.7842
6.6	14.7489
7.8	15.9583
9	14.7292
10.2	17.4342
11.4	17.3716
12.6	16.9185
13.8	18.6919
15	21.9039
16.2	20.0491
17.4	22.5203
18.6	22.8003
19.8	21.5296
21	22.99
22.2	24.8598
23.4	23.6056
24.6	24.2763
25.8	25.4875
27	25.5078
28.2	26.009
29.4	26.7007
30.6	27.4657
31.8	27.6069
33	27.4491
34.2	27.1117
35.4	27.1216
36.6	28.1221
37.8	29.6818
39	30.059
40.2	30.9901
41.4	30.5937
42.6	31.0528
43.8	31.2895
45	30.8208
46.2	32.2634
47.4	32.0894
48.6	31.5223
49.8	33.3145
51	34.0212
52.2	34.5499
53.4	34.9093
54.6	36.0822
55.8	37.2826
57	36.8766
58.2	38.1776
59.4	37.1176
