# x_abs_mm	x_rel_mm	value
0.011094	-3.84962	0.0141
0.033282	-3.82743	0.016208
0.05547	-3.80524	0.0184786
0.077658	-3.78305	0.0196717
0.099846	-3.76087	0.0197805
0.122034	-3.73868	0.0264462
0.144222	-3.71649	0.0414127
0.16641	-3.6943	0.0516589
0.188598	-3.67211	0.0544591
0.210786	-3.64993	0.0564847
0.232974	-3.62774	0.059159
0.255162	-3.60555	0.0574495
0.27735	-3.58336	0.0517048
0.299538	-3.56117	0.0508159
0.321726	-3.53899	0.0375749
0.343914	-3.5168	0.0343491
0.366102	-3.49461	0.0372807
0.38829	-3.47242	0.0430873
0.410478	-3.45023	0.0469768
0.432666	-3.42805	0.0451866
0.454854	-3.40586	0.0451068
0.477042	-3.38367	0.0435005
0.49923	-3.36148	0.0420718
0.521418	-3.33929	0.0461306
0.543606	-3.31711	0.0461423
0.565794	-3.29492	0.0464304
0.587982	-3.27273	0.04321
0.61017	-3.25054	0.0448674
0.632358	-3.22835	0.0413871
0.654546	-3.20617	0.0403547
0.676734	-3.18398	0.0367783
0.698922	-3.16179	0.042347
0.72111	-3.1396	0.0376204
0.743298	-3.11741	0.0331832
0.765486	-3.09523	0.0345604
0.787674	-3.07304	0.0422158
0.809862	-3.05085	0.0488061
0.83205	-3.02866	0.0491375
0.854238	-3.00647	0.0511003
0.876426	-2.98429	0.0492917
0.898614	-2.9621	0.0486613
0.920802	-2.93991	0.0463157
0.94299	-2.91772	0.0464286
0.965178	-2.89553	0.0393787
0.987366	-2.87335	0.0413145
1.00955	-2.85116	0.0409387
1.03174	-2.82897	0.0405154
1.05393	-2.80678	0.0404255
1.07612	-2.78459	0.0421416
1.09831	-2.76241	0.0405857
1.12049	-2.74022	0.0420476
1.14268	-2.71803	0.0418476
1.16487	-2.69584	0.0394364
1.18706	-2.67365	0.159774
1.20925	-2.65147	0.164139
1.23143	-2.62928	0.176208
1.25362	-2.60709	0.183276
1.27581	-2.5849	0.17375
1.298	-2.56271	0.132867
1.32019	-2.54053	0.0832464
1.34237	-2.51834	0.0152846
1.36456	-2.49615	0.0146213
1.38675	-2.47396	0.0121932
1.40894	-2.45177	0.00855999
1.43113	-2.42959	0.00343435
