# x_abs_mm	x_rel_mm	value
4.87027	-2.31865	0.0991943
4.89245	-2.29646	0.0949602
4.91464	-2.27427	0.105511
4.93683	-2.25208	0.110827
4.95902	-2.22989	0.120316
4.98121	-2.20771	0.118155
5.00339	-2.18552	0.117915
5.02558	-2.16333	0.130076
5.04777	-2.14114	0.133089
5.06996	-2.11895	0.130201
5.09215	-2.09677	0.119214
5.11433	-2.07458	0.108628
5.13652	-2.05239	0.119455
5.15871	-2.0302	0.12369
5.1809	-2.00801	0.133137
5.20309	-1.98583	0.141263
5.22527	-1.96364	0.127698
5.24746	-1.94145	0.112385
5.26965	-1.91926	0.106981
5.29184	-1.89707	0.110055
5.31403	-1.87489	0.114486
5.33621	-1.8527	0.110695
5.3584	-1.83051	0.117971
5.38059	-1.80832	0.137615
5.40278	-1.78613	0.141784
5.42497	-1.76395	0.133175
5.44715	-1.74176	0.126796
5.46934	-1.71957	0.13546
5.49153	-1.69738	0.133027
5.51372	-1.67519	0.13101
5.53591	-1.65301	0.132658
5.55809	-1.63082	0.147122
5.58028	-1.60863	0.139414
5.60247	-1.58644	0.142939
5.62466	-1.56425	0.148348
5.64685	-1.54207	0.158301
5.66903	-1.51988	0.153551
5.69122	-1.49769	0.161821
5.71341	-1.4755	0.154466
5.7356	-1.45331	0.143927
5.75779	-1.43113	0.148899
5.77997	-1.40894	0.148611
5.80216	-1.38675	0.149954
5.82435	-1.36456	0.147158
5.84654	-1.34237	0.147461
5.86873	-1.32019	0.145526
5.89091	-1.298	0.153484
5.9131	-1.27581	0.147137
5.93529	-1.25362	0.143996
5.95748	-1.23143	0.140136
5.97967	-1.20925	0.149398
6.00185	-1.18706	0.152107
6.02404	-1.16487	0.156087
6.04623	-1.14268	0.171631
6.06842	-1.12049	0.187002
6.09061	-1.09831	0.203662
6.11279	-1.07612	0.213935
6.13498	-1.05393	0.218362
6.15717	-1.03174	0.21804
6.17936	-1.00955	0.217917
6.20155	-0.987366	0.219493
6.22373	-0.965178	0.226141
6.24592	-0.94299	0.245138
6.26811	-0.920802	0.266205
6.2903	-0.898614	0.282507
6.31249	-0.876426	0.293165
6.33467	-0.854238	0.31191
6.35686	-0.83205	0.336759
6.37905	-0.809862	0.360807
6.40124	-0.787674	0.376541
6.42343	-0.765486	0.37343
6.44561	-0.743298	0.374084
6.4678	-0.72111	0.371806
6.48999	-0.698922	0.375916
6.51218	-0.676734	0.376044
6.53437	-0.654546	0.374007
6.55655	-0.632358	0.370899
6.57874	-0.61017	0.363365
6.60093	-0.587982	0.378709
6.62312	-0.565794	0.379141
