# x_abs_mm	x_rel_mm	value
0.011094	-6.06842	0
0.033282	-6.04623	0
0.05547	-6.02404	0
0.077658	-6.00185	0
0.099846	-5.97967	0
0.122034	-5.95748	0
0.144222	-5.93529	0
0.16641	-5.9131	0
0.188598	-5.89091	0
0.210786	-5.86873	0
0.232974	-5.84654	0
0.255162	-5.82435	0
0.27735	-5.80216	0
0.299538	-5.77997	0
0.321726	-5.75779	0
0.343914	-5.7356	0
0.366102	-5.71341	0
0.38829	-5.69122	0
0.410478	-5.66903	0
0.432666	-5.64685	0
0.454854	-5.62466	0
0.477042	-5.60247	0
0.49923	-5.58028	0
0.521418	-5.55809	0
0.543606	-5.53591	0
0.565794	-5.51372	0
0.587982	-5.49153	0
0.61017	-5.46934	0
0.632358	-5.44715	0
0.654546	-5.42497	0
0.676734	-5.40278	0
0.698922	-5.38059	0
0.72111	-5.3584	0
0.743298	-5.33621	0
0.765486	-5.31403	0
0.787674	-5.29184	0
0.809862	-5.26965	0
0.83205	-5.24746	0
0.854238	-5.22527	0
0.876426	-5.20309	0
0.898614	-5.1809	0
0.920802	-5.15871	0
0.94299	-5.13652	0
0.965178	-5.11433	0
0.987366	-5.09215	0
1.00955	-5.06996	0
1.03174	-5.04777	0
1.05393	-5.02558	0
1.07612	-5.00339	0
1.09831	-4.98121	0
1.12049	-4.95902	0
1.14268	-4.93683	0
1.16487	-4.91464	0
1.18706	-4.89245	0
1.20925	-4.87027	0
1.23143	-4.84808	0
1.25362	-4.82589	0
1.27581	-4.8037	0
1.298	-4.78151	0
1.32019	-4.75933	0
1.34237	-4.73714	0
1.36456	-4.71495	0
1.38675	-4.69276	0
1.40894	-4.67057	0
1.43113	-4.64839	-0.0164814
1.45331	-4.6262	-0.0358429
1.4755	-4.60401	-0.030684
1.49769	-4.58182	-0.043456
1.51988	-4.55963	-0.0134903
1.54207	-4.53745	-0.00909068
1.56425	-4.51526	-0.00357168
1.58644	-4.49307	0.0227645
1.60863	-4.47088	0.0468873
1.63082	-4.44869	0.0742621
1.65301	-4.42651	0.101263
1.67519	-4.40432	0.116689
1.69738	-4.38213	0.127412
1.71957	-4.35994	0.120503
1.74176	-4.33775	0.108015
1.76395	-4.31557	0.0955395
1.78613	-4.29338	0.0828213
1.80832	-4.27119	0.0818659
1.83051	-4.249	0.075151
1.8527	-4.22681	0.0749458
1.87489	-4.20463	0.0702629
1.89707	-4.18244	0.0630007
1.91926	-4.16025	0.0551642
1.94145	-4.13806	0.0377191
1.96364	-4.11587	0.0345071
1.98583	-4.09369	0.0345893
2.00801	-4.0715	0.0334738
2.0302	-4.04931	0.0308923
2.05239	-4.02712	0.025808
2.07458	-4.00493	0.0208173
2.09677	-3.98275	0.0220886
2.11895	-3.96056	0.0246857
2.14114	-3.93837	0.0198683
2.16333	-3.91618	0.0198349
2.18552	-3.89399	0.0226721
2.20771	-3.87181	0.0207642
2.22989	-3.84962	0.00899706
2.25208	-3.82743	0.00431535
2.27427	-3.80524	0.00322989
2.29646	-3.78305	0
2.31865	-3.76087	0
2.34083	-3.73868	0
2.36302	-3.71649	0
2.38521	-3.6943	0
2.4074	-3.67211	0
2.42959	-3.64993	0
2.45177	-3.62774	0
2.47396	-3.60555	0
2.49615	-3.58336	0
2.51834	-3.56117	0.000208631
2.54053	-3.53899	0.00460693
2.56271	-3.5168	0.00597041
2.5849	-3.49461	0.00824596
2.60709	-3.47242	0.0103085
2.62928	-3.45023	0.00709624
2.65147	-3.42805	0.00811289
2.67365	-3.40586	0.0121071
2.69584	-3.38367	0.0165843
2.71803	-3.36148	0.0208054
2.74022	-3.33929	0.0219998
2.76241	-3.31711	0.0187279
2.78459	-3.29492	0.0199626
2.80678	-3.27273	0.019765
2.82897	-3.25054	0.0159822
2.85116	-3.22835	0.0117676
2.87335	-3.20617	0.0136485
2.89553	-3.18398	0.0147669
2.91772	-3.16179	0.0126677
2.93991	-3.1396	0.0139865
2.9621	-3.11741	0.0164546
2.98429	-3.09523	0.0174611
3.00647	-3.07304	0.0183596
3.02866	-3.05085	0.0185379
3.05085	-3.02866	0.0177176
3.07304	-3.00647	0.0279962
3.09523	-2.98429	0.0356712
3.11741	-2.9621	0.0348093
3.1396	-2.93991	0.0371059
3.16179	-2.91772	0.0420289
3.18398	-2.89553	0.0471791
3.20617	-2.87335	0.0485341
3.22835	-2.85116	0.0452345
3.25054	-2.82897	0.0408469
3.27273	-2.80678	0.0422099
3.29492	-2.78459	0.039329
3.31711	-2.76241	0.0352224
3.33929	-2.74022	0.0329734
3.36148	-2.71803	0.0341032
3.38367	-2.69584	0.0337191
3.40586	-2.67365	0.0379887
3.42805	-2.65147	0.0398841
3.45023	-2.62928	0.0428458
3.47242	-2.60709	0.0424469
3.49461	-2.5849	0.0431381
3.5168	-2.56271	0.0427461
3.53899	-2.54053	0.0402397
3.56117	-2.51834	0.0409951
3.58336	-2.49615	0.0400661
3.60555	-2.47396	0.0391233
3.62774	-2.45177	0.0448761
3.64993	-2.42959	0.0475137
3.67211	-2.4074	0.0478751
3.6943	-2.38521	0.0505879
3.71649	-2.36302	0.0466183
3.73868	-2.34083	0.0445391
3.76087	-2.31865	0.0451408
3.78305	-2.29646	0.0497554
3.80524	-2.27427	0.062464
3.82743	-2.25208	0.0808904
3.84962	-2.22989	0.0865256
3.87181	-2.20771	0.0894494
3.89399	-2.18552	0.0869721
3.91618	-2.16333	0.0783184
3.93837	-2.14114	0.0698016
3.96056	-2.11895	0.0691198
3.98275	-2.09677	0.0684098
4.00493	-2.07458	0.072413
4.02712	-2.05239	0.0768266
4.04931	-2.0302	0.0796474
4.0715	-2.00801	0.0822415
4.09369	-1.98583	0.0850639
4.11587	-1.96364	0.092099
4.13806	-1.94145	0.0951888
4.16025	-1.91926	0.100367
4.18244	-1.89707	0.107915
4.20463	-1.87489	0.119325
4.22681	-1.8527	0.130943
4.249	-1.83051	0.128377
4.27119	-1.80832	0.130387
4.29338	-1.78613	0.129796
4.31557	-1.76395	0.131471
4.33775	-1.74176	0.133111
4.35994	-1.71957	0.131427
4.38213	-1.69738	0.134492
4.40432	-1.67519	0.137759
4.42651	-1.65301	0.135999
4.44869	-1.63082	0.133002
4.47088	-1.60863	0.134322
4.49307	-1.58644	0.137388
4.51526	-1.56425	0.13878
4.53745	-1.54207	0.136189
4.55963	-1.51988	0.134207
4.58182	-1.49769	0.130562
4.60401	-1.4755	0.128636
4.6262	-1.45331	0.129448
4.64839	-1.43113	0.134091
4.67057	-1.40894	0.1422
4.69276	-1.38675	0.144203
4.71495	-1.36456	0.143947
4.73714	-1.34237	0.143494
4.75933	-1.32019	0.144934
4.78151	-1.298	0.145481
4.8037	-1.27581	0.145662
4.82589	-1.25362	0.15263
4.84808	-1.23143	0.154681
4.87027	-1.20925	0.160815
4.89245	-1.18706	0.163778
4.91464	-1.16487	0.165745
