# x_abs_mm	x_rel_mm	value
0.011094	-6.06842	0
0.033282	-6.04623	0
0.05547	-6.02404	0
0.077658	-6.00185	0
0.099846	-5.97967	0
0.122034	-5.95748	0
0.144222	-5.93529	0
0.16641	-5.9131	0
0.188598	-5.89091	0
0.210786	-5.86873	0
0.232974	-5.84654	0
0.255162	-5.82435	0
0.27735	-5.80216	0
0.299538	-5.77997	0
0.321726	-5.75779	0
0.343914	-5.7356	0
0.366102	-5.71341	0
0.38829	-5.69122	0
0.410478	-5.66903	0
0.432666	-5.64685	0
0.454854	-5.62466	0
0.477042	-5.60247	0
0.49923	-5.58028	0
0.521418	-5.55809	0
0.543606	-5.53591	0
0.565794	-5.51372	0
0.587982	-5.49153	0
0.61017	-5.46934	0
0.632358	-5.44715	0
0.654546	-5.42497	0
0.676734	-5.40278	0
0.698922	-5.38059	0
0.72111	-5.3584	0
0.743298	-5.33621	0
0.765486	-5.31403	0
0.787674	-5.29184	0
0.809862	-5.26965	0
0.83205	-5.24746	0
0.854238	-5.22527	0
0.876426	-5.20309	0
0.898614	-5.1809	0
0.920802	-5.15871	0
0.94299	-5.13652	0
0.965178	-5.11433	0
0.987366	-5.09215	0
1.00955	-5.06996	0
1.03174	-5.04777	0
1.05393	-5.02558	0
1.07612	-5.00339	0
1.09831	-4.98121	0
1.12049	-4.95902	0
1.14268	-4.93683	0
1.16487	-4.91464	0
1.18706	-4.89245	0
1.20925	-4.87027	0
1.23143	-4.84808	0
1.25362	-4.82589	0
1.27581	-4.8037	0
1.298	-4.78151	0
1.32019	-4.75933	0
1.34237	-4.73714	0
1.36456	-4.71495	0
1.38675	-4.69276	0
1.40894	-4.67057	0
1.43113	-4.64839	0
1.45331	-4.6262	0
1.4755	-4.60401	0
1.49769	-4.58182	0
1.51988	-4.55963	0
1.54207	-4.53745	0
1.56425	-4.51526	0
1.58644	-4.49307	0
1.60863	-4.47088	0
1.63082	-4.44869	0
1.65301	-4.42651	0.00353274
1.67519	-4.40432	0.00174283
1.69738	-4.38213	0.000895471
1.71957	-4.35994	-0.00226842
1.74176	-4.33775	-0.00292041
1.76395	-4.31557	0.00192919
1.78613	-4.29338	-0.00486054
1.80832	-4.27119	-0.00177431
1.83051	-4.249	0.00568498
1.8527	-4.22681	0.00753791
1.87489	-4.20463	0.00367921
1.89707	-4.18244	0.00224477
1.91926	-4.16025	0
1.94145	-4.13806	0
1.96364	-4.11587	0
1.98583	-4.09369	0
2.00801	-4.0715	0.0163835
2.0302	-4.04931	0.0235584
2.05239	-4.02712	0.0318812
2.07458	-4.00493	0.02488
2.09677	-3.98275	0.0196066
2.11895	-3.96056	0.0162183
2.14114	-3.93837	0.010055
2.16333	-3.91618	0.00581246
2.18552	-3.89399	0.0057038
2.20771	-3.87181	-0.000810922
2.22989	-3.84962	-0.00120354
2.25208	-3.82743	-0.00119847
2.27427	-3.80524	0.00024423
2.29646	-3.78305	0.00068709
2.31865	-3.76087	0.00154106
2.34083	-3.73868	0.00347317
2.36302	-3.71649	0.00492764
2.38521	-3.6943	0.0036645
2.4074	-3.67211	0.00503463
2.42959	-3.64993	0.00535839
2.45177	-3.62774	0.00364216
2.47396	-3.60555	0.00231573
2.49615	-3.58336	0.00129428
2.51834	-3.56117	0.00254972
2.54053	-3.53899	0.00405778
2.56271	-3.5168	0.00422287
2.5849	-3.49461	0.0102805
2.60709	-3.47242	0.0134868
2.62928	-3.45023	0.028195
2.65147	-3.42805	0.0434515
2.67365	-3.40586	0.044709
2.69584	-3.38367	0.0396748
2.71803	-3.36148	0.03404
2.74022	-3.33929	0.0323313
2.76241	-3.31711	0.0304356
2.78459	-3.29492	0.0361502
2.80678	-3.27273	0.0477113
2.82897	-3.25054	0.0486412
2.85116	-3.22835	0.049654
2.87335	-3.20617	0.0564937
2.89553	-3.18398	0.0597966
2.91772	-3.16179	0.0642898
2.93991	-3.1396	0.0688791
2.9621	-3.11741	0.070377
2.98429	-3.09523	0.0669179
3.00647	-3.07304	0.0637046
3.02866	-3.05085	0.0593073
3.05085	-3.02866	0.0595842
3.07304	-3.00647	0.0653761
3.09523	-2.98429	0.0667195
3.11741	-2.9621	0.0650797
3.1396	-2.93991	0.0635831
3.16179	-2.91772	0.0637397
3.18398	-2.89553	0.070925
3.20617	-2.87335	0.0707073
3.22835	-2.85116	0.0647286
3.25054	-2.82897	0.0641116
3.27273	-2.80678	0.06682
3.29492	-2.78459	0.0732929
3.31711	-2.76241	0.0747862
3.33929	-2.74022	0.0763094
3.36148	-2.71803	0.0776297
3.38367	-2.69584	0.0739809
3.40586	-2.67365	0.0745818
3.42805	-2.65147	0.07884
3.45023	-2.62928	0.0806226
3.47242	-2.60709	0.0825699
3.49461	-2.5849	0.080174
3.5168	-2.56271	0.082223
3.53899	-2.54053	0.0818699
3.56117	-2.51834	0.0843086
3.58336	-2.49615	0.0893026
3.60555	-2.47396	0.0885568
3.62774	-2.45177	0.0872703
3.64993	-2.42959	0.0850192
3.67211	-2.4074	0.0873709
3.6943	-2.38521	0.0887828
3.71649	-2.36302	0.0887607
3.73868	-2.34083	0.0902316
3.76087	-2.31865	0.0862698
3.78305	-2.29646	0.081681
3.80524	-2.27427	0.0866163
3.82743	-2.25208	0.0872651
3.84962	-2.22989	0.0915715
3.87181	-2.20771	0.0942866
3.89399	-2.18552	0.0931935
3.91618	-2.16333	0.0966412
3.93837	-2.14114	0.101363
3.96056	-2.11895	0.10506
3.98275	-2.09677	0.109589
4.00493	-2.07458	0.123197
4.02712	-2.05239	0.12862
4.04931	-2.0302	0.136545
4.0715	-2.00801	0.143334
4.09369	-1.98583	0.146701
4.11587	-1.96364	0.152771
4.13806	-1.94145	0.160522
4.16025	-1.91926	0.166294
4.18244	-1.89707	0.165125
4.20463	-1.87489	0.157367
4.22681	-1.8527	0.156527
4.249	-1.83051	0.152975
4.27119	-1.80832	0.147354
4.29338	-1.78613	0.150833
4.31557	-1.76395	0.154356
4.33775	-1.74176	0.155096
4.35994	-1.71957	0.156439
4.38213	-1.69738	0.15803
4.40432	-1.67519	0.160913
4.42651	-1.65301	0.163039
4.44869	-1.63082	0.156553
4.47088	-1.60863	0.160015
4.49307	-1.58644	0.160846
4.51526	-1.56425	0.162202
4.53745	-1.54207	0.161504
4.55963	-1.51988	0.159674
4.58182	-1.49769	0.157127
4.60401	-1.4755	0.162326
4.6262	-1.45331	0.165141
4.64839	-1.43113	0.169496
4.67057	-1.40894	0.172362
4.69276	-1.38675	0.172989
4.71495	-1.36456	0.179003
4.73714	-1.34237	0.183401
4.75933	-1.32019	0.185247
4.78151	-1.298	0.186606
4.8037	-1.27581	0.189825
4.82589	-1.25362	0.195312
4.84808	-1.23143	0.204188
4.87027	-1.20925	0.211651
4.89245	-1.18706	0.21506
4.91464	-1.16487	0.21598
4.93683	-1.14268	0.221917
