# x_abs_mm	x_rel_mm	value
4.69276	-1.38675	0.101216
4.71495	-1.36456	0.118358
4.73714	-1.34237	0.135274
4.75933	-1.32019	0.150545
4.78151	-1.298	0.158794
4.8037	-1.27581	0.161102
4.82589	-1.25362	0.156933
4.84808	-1.23143	0.156202
4.87027	-1.20925	0.173165
4.89245	-1.18706	0.180672
4.91464	-1.16487	0.167357
4.93683	-1.14268	0.175434
4.95902	-1.12049	0.180331
4.98121	-1.09831	0.184221
5.00339	-1.07612	0.190551
5.02558	-1.05393	0.200079
5.04777	-1.03174	0.194236
5.06996	-1.00955	0.193237
5.09215	-0.987366	0.196758
5.11433	-0.965178	0.189461
5.13652	-0.94299	0.181029
5.15871	-0.920802	0.187628
5.1809	-0.898614	0.184192
5.20309	-0.876426	0.188142
5.22527	-0.854238	0.195462
5.24746	-0.83205	0.209182
5.26965	-0.809862	0.226115
5.29184	-0.787674	0.230452
5.31403	-0.765486	0.256355
5.33621	-0.743298	0.261373
5.3584	-0.72111	0.262384
5.38059	-0.698922	0.278797
5.40278	-0.676734	0.299388
5.42497	-0.654546	0.313492
5.44715	-0.632358	0.32746
5.46934	-0.61017	0.32167
5.49153	-0.587982	0.313491
5.51372	-0.565794	0.298554
5.53591	-0.543606	0.280526
5.55809	-0.521418	0.277842
5.58028	-0.49923	0.26658
5.60247	-0.477042	0.268456
5.62466	-0.454854	0.268013
5.64685	-0.432666	0.254926
5.66903	-0.410478	0.227932
5.69122	-0.38829	0.225788
5.71341	-0.366102	0.214487
5.7356	-0.343914	0.215584
5.75779	-0.321726	0.208459
5.77997	-0.299538	0.203955
5.80216	-0.27735	0.19766
5.82435	-0.255162	0.196904
5.84654	-0.232974	0.189226
5.86873	-0.210786	0.15354
5.89091	-0.188598	0.0107665
5.9131	-0.16641	0
5.93529	-0.144222	0
5.95748	-0.122034	0
5.97967	-0.099846	0
6.00185	-0.077658	0
6.02404	-0.05547	0
6.04623	-0.033282	0
6.06842	-0.011094	0
6.09061	0.011094	0
6.11279	0.033282	0
6.13498	0.05547	0
6.15717	0.077658	0
6.17936	0.099846	0
6.20155	0.122034	0
6.22373	0.144222	0
6.24592	0.16641	0
6.26811	0.188598	0
6.2903	0.210786	0
6.31249	0.232974	0
6.33467	0.255162	0
6.35686	0.27735	0
6.37905	0.299538	0
