# x_mm	value
0.0168561	4.53307
0.0505682	5.5772
0.0842803	6.88543
0.117992	7.86543
0.151705	8.71908
0.185417	9.61911
0.219129	10.0103
0.252841	10.8131
0.286553	10.7792
0.320265	11.419
0.353977	11.9366
0.387689	12.0949
0.421402	12.539
0.455114	13.0197
0.488826	13.646
0.522538	13.6795
0.55625	14.1977
0.589962	14.2076
0.623674	14.9559
0.657386	15.5392
0.691098	15.4
0.724811	15.5302
0.758523	15.999
0.792235	16.4012
0.825947	16.9622
0.859659	17.93
0.893371	18.8726
0.927083	19.4376
0.960795	19.637
0.994508	19.7229
1.02822	21.0804
1.06193	21.4015
1.09564	21.9202
1.12936	22.3224
1.16307	23.3224
1.19678	23.5615
1.23049	24.4325
1.2642	25.4101
1.29792	25.7411
1.33163	26.7616
1.36534	27.1274
1.39905	26.9656
1.43277	27.2451
1.46648	27.6812
1.50019	27.0028
1.5339	26.737
1.56761	25.3983
1.60133	24.4579
1.63504	22.9758
1.66875	22.0776
1.70246	19.9868
1.73617	18.4695
1.76989	17.0537
1.8036	15.4112
1.83731	14.181
1.87102	12.7706
1.90473	11.0064
1.93845	8.79474
1.97216	7.21722
2.00587	5.31075
2.03958	3.41053
2.0733	2.86151
2.10701	2.00831
2.14072	2.10264
2.17443	1.74473
2.20814	1.7436
2.24186	2.68394
2.27557	2.0168
2.30928	1.22192
2.34299	1.823
2.3767	1.94206
2.41042	2.98884
2.44413	3.87118
2.47784	3.75873
2.51155	5.53233
2.54527	7.71739
2.57898	8.52053
2.61269	9.34773
2.6464	9.71966
2.68011	10.5883
2.71383	11.2567
2.74754	11.4029
2.78125	11.9392
2.81496	12.5075
2.84867	12.9719
2.88239	13.1716
2.9161	13.1482
2.94981	13.1142
2.98352	12.5751
3.01723	13.0195
3.05095	12.246
3.08466	11.614
3.11837	11.2166
3.15208	10.9588
3.1858	11.1265
3.21951	10.8264
3.25322	10.3981
3.28693	8.74955
3.32064	9.70277
3.35436	9.10931
3.38807	7.35933
3.42178	7.33286
3.45549	7.02958
3.4892	6.90457
3.52292	6.28064
3.55663	5.35843
3.59034	4.94852
3.62405	4.28917
3.65777	3.62435
3.69148	3.17223
3.72519	3.76473
3.7589	3.21646
3.79261	3.32404
3.82633	3.84941
3.86004	3.9762
3.89375	4.54141
3.92746	5.20191
3.96117	5.68777
3.99489	6.26063
4.0286	6.71664
4.06231	6.91398
4.09602	6.99879
4.12973	7.43624
4.16345	7.39656
4.19716	7.19416
4.23087	7.15312
4.26458	7.45188
4.2983	7.43962
4.33201	6.78215
4.36572	6.04462
4.39943	4.96459
4.43314	4.03052
