# x_mm	value
0.0168561	7.56238
0.0505682	8.84914
0.0842803	9.71958
0.117992	10.3282
0.151705	11.5956
0.185417	12.0292
0.219129	12.6114
0.252841	13.1287
0.286553	13.3107
0.320265	13.8823
0.353977	14.391
0.387689	14.4634
0.421402	15.0905
0.455114	15.668
0.488826	15.9591
0.522538	15.8841
0.55625	16.4063
0.589962	16.6898
0.623674	16.9301
0.657386	17.6739
0.691098	17.6631
0.724811	17.9318
0.758523	18.0561
0.792235	18.6261
0.825947	19.0205
0.859659	20.3712
0.893371	21.137
0.927083	21.8151
0.960795	22.7523
0.994508	22.8184
1.02822	23.8756
1.06193	24.8262
1.09564	25.4198
1.12936	25.9565
1.16307	26.7334
1.19678	27.7969
1.23049	28.5618
1.2642	30.4815
1.29792	31.4466
1.33163	33.1404
1.36534	34.0477
1.39905	34.5579
1.43277	35.5244
1.46648	36.1877
1.50019	36.0157
1.5339	34.9814
1.56761	34.1906
1.60133	33.3396
1.63504	31.887
1.66875	30.9956
1.70246	28.8763
1.73617	26.8306
1.76989	25.1999
1.8036	23.2171
1.83731	20.9088
1.87102	18.2062
1.90473	15.3804
1.93845	12.2417
1.97216	8.73045
2.00587	6.02959
2.03958	4.38376
2.0733	3.80031
2.10701	2.89925
2.14072	3.42678
2.17443	3.15288
2.20814	2.50114
2.24186	2.73499
2.27557	2.29788
2.30928	2.92102
2.34299	3.60175
2.3767	3.20339
2.41042	4.16849
2.44413	5.58764
2.47784	6.86816
2.51155	8.67631
2.54527	11.1523
2.57898	12.5408
2.61269	13.7106
2.6464	13.8112
2.68011	14.5607
2.71383	14.9511
2.74754	15.1683
2.78125	16.3497
2.81496	17.2767
2.84867	18.4293
2.88239	18.4741
2.9161	18.5425
2.94981	18.7596
2.98352	18.5374
3.01723	18.4707
3.05095	18.2493
3.08466	17.2767
3.11837	16.611
3.15208	16.4563
3.1858	15.9219
3.21951	15.662
3.25322	14.9222
3.28693	14.8177
3.32064	12.0749
3.35436	12.488
3.38807	12.7545
3.42178	12.0312
3.45549	11.8087
3.4892	11.7683
3.52292	11.3384
3.55663	10.0682
3.59034	9.54186
3.62405	9.33539
3.65777	8.58485
3.69148	7.58381
3.72519	7.82213
3.7589	7.67268
3.79261	7.55129
3.82633	7.92351
3.86004	7.74462
3.89375	8.30304
3.92746	8.54267
3.96117	9.21106
3.99489	9.72241
4.0286	9.25017
4.06231	9.42663
4.09602	9.67764
4.12973	9.59463
4.16345	9.69152
4.19716	9.72734
4.23087	9.26798
4.26458	9.22339
4.2983	8.97279
4.33201	8.144
4.36572	7.47643
4.39943	5.25948
4.43314	4.0807
