# x_mm	value
0.0168561	6.9315
0.0505682	8.67087
0.0842803	10.2107
0.117992	11.1236
0.151705	11.8178
0.185417	12.8165
0.219129	13.0169
0.252841	14.5252
0.286553	14.8598
0.320265	15.4858
0.353977	16.1591
0.387689	16.5345
0.421402	16.7823
0.455114	17.768
0.488826	17.4526
0.522538	17.822
0.55625	17.9175
0.589962	18.2256
0.623674	18.4628
0.657386	18.779
0.691098	18.2912
0.724811	19.1662
0.758523	19.7634
0.792235	19.4402
0.825947	19.466
0.859659	20.2546
0.893371	20.7943
0.927083	21.7239
0.960795	22.6068
0.994508	23.2603
1.02822	24.0156
1.06193	25.8786
1.09564	26.8052
1.12936	29.2874
1.16307	29.7351
1.19678	29.9884
1.23049	32.165
1.2642	31.8807
1.29792	33.1364
1.33163	32.7345
1.36534	32.753
1.39905	33.6307
1.43277	33.7263
1.46648	33.1782
1.50019	33.4239
1.5339	32.7112
1.56761	32.1271
1.60133	30.8122
1.63504	29.8705
1.66875	28.8796
1.70246	27.8057
1.73617	25.8884
1.76989	24.3762
1.8036	22.0791
1.83731	20.8073
1.87102	18.7894
1.90473	15.6396
1.93845	12.8783
1.97216	9.47063
2.00587	7.81707
2.03958	6.16354
2.0733	4.05877
2.10701	3.56403
2.14072	2.53204
2.17443	1.80198
2.20814	1.77568
2.24186	2.07616
2.27557	2.9769
2.30928	2.20308
2.34299	2.15587
2.3767	2.62731
2.41042	2.40378
2.44413	3.15908
2.47784	4.2116
2.51155	5.97958
2.54527	7.03432
2.57898	7.18994
2.61269	9.09684
2.6464	10.0944
2.68011	10.9336
2.71383	12.3163
2.74754	12.9181
2.78125	14.3428
2.81496	15.051
2.84867	15.6284
2.88239	15.8279
2.9161	16.2625
2.94981	16.0453
2.98352	15.8217
3.01723	15.4046
3.05095	15.7524
3.08466	15.3649
3.11837	14.9237
3.15208	14.6589
3.1858	14.6108
3.21951	13.9428
3.25322	13.8681
3.28693	14.0066
3.32064	13.3903
3.35436	13.4069
3.38807	13.1963
3.42178	13.2794
3.45549	12.6504
3.4892	12.3812
3.52292	11.9565
3.55663	11.4495
3.59034	11.7196
3.62405	10.8819
3.65777	10.47
3.69148	11.0585
3.72519	9.87767
3.7589	10.1542
3.79261	9.69936
3.82633	10.1729
3.86004	10.5802
3.89375	10.1041
3.92746	10.2563
3.96117	10.209
3.99489	9.81682
4.0286	9.77349
4.06231	9.11075
4.09602	8.64013
4.12973	7.8963
4.16345	8.25161
4.19716	7.78389
4.23087	7.33141
4.26458	7.03081
4.2983	6.46044
4.33201	6.16534
4.36572	5.70955
4.39943	5.2716
4.43314	4.40022
